year,season,league_name,week,team_1,team_2,Blue,Red,MH,set_number
2017.0,spring,OPL,6,,,TM,Av,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110093?gameHash=73742eee3add24d2&tab=overview,2.0
2017.0,spring,OPL,6,,,Av,TM,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110094?gameHash=2efb6c41d7417bff&tab=overview,3.0
2017.0,spring,OPL,6,LGC,CHF,LGC,CHF,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110095?gameHash=a0e897927faa6724&tab=overview,1.0
2017.0,spring,OPL,6,,,CHF,LGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110104?gameHash=a65183157a08fb78&tab=overview,2.0
2017.0,spring,OPL,7,SIN,CHF,CHF,SIN,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110289?gameHash=d0eeaa91956eb62b&tab=overview,1.0
2017.0,spring,OPL,7,,,SIN,CHF,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110296?gameHash=9f791e0cf4f40d19&tab=overview,2.0
2017.0,spring,OPL,7,,,CHF,SIN,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110298?gameHash=a964a85706813258&tab=overview,3.0
2017.0,spring,OPL,7,X5,ABY,X5,ABY,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110299?gameHash=24ed04d17a17487d&tab=overview,1.0
2017.0,spring,OPL,7,,,ABY,X5,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110306?gameHash=c864b215fc208af9&tab=overview,2.0
2017.0,spring,OPL,7,,,X5,ABY,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110307?gameHash=d0a072b825aaa3a0&tab=overview,3.0
2017.0,spring,OPL,7,LGC,TM,TM,LGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110357?gameHash=6242991fa2bd67ad&tab=overview,1.0
2017.0,spring,OPL,7,,,LGC,TM,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110364?gameHash=1569d322e3582f39&tab=overview,2.0
2017.0,spring,OPL,7,DW,Av,DW,Av,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110373?gameHash=d914ef311948938c&tab=overview,1.0
