year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,MVP,set_number
2019.0,spring,LMS,4,ALF,ahq,ALF,ahq,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1004537?gameHash=76ba971cd5542a36&tab=overview,https://youtu.be/SJ-ZwmtYVcQ?t=654,https://youtu.be/SJ-ZwmtYVcQ?t=1136,https://youtu.be/SJ-ZwmtYVcQ?t=3602,Xiaoemo,1.0
2019.0,spring,LMS,4,,,ahq,ALF,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1004552?gameHash=d6b9bf9e256c52a3&tab=overview,https://youtu.be/SJ-ZwmtYVcQ?t=4828,https://youtu.be/SJ-ZwmtYVcQ?t=5298,https://youtu.be/SJ-ZwmtYVcQ?t=7128,Ziv,2.0
2019.0,spring,LMS,4,,,ALF,ahq,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1004573?gameHash=43bb8eac1366f9bb&tab=overview,https://youtu.be/SJ-ZwmtYVcQ?t=8196,https://youtu.be/SJ-ZwmtYVcQ?t=8951,https://youtu.be/SJ-ZwmtYVcQ?t=10686,Alex,3.0
2019.0,spring,LMS,5,ALF,GRX,ALF,GRX,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015544?gameHash=e291d9df14d087b2&tab=overview,https://youtu.be/afUyitu-R0c?t=1972,https://youtu.be/afUyitu-R0c?t=2442,https://youtu.be/afUyitu-R0c?t=3923,WSY,1.0
2019.0,spring,LMS,5,,,GRX,ALF,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015547?gameHash=41b26fe1ae33fe0d&tab=overview,https://youtu.be/afUyitu-R0c?t=5006,https://youtu.be/afUyitu-R0c?t=5435,https://youtu.be/afUyitu-R0c?t=6753,Leaky,2.0
2019.0,spring,LMS,5,MAD,DG,MAD,DG,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015549?gameHash=adff225223d3aa78&tab=overview,https://youtu.be/afUyitu-R0c?t=8991,https://youtu.be/afUyitu-R0c?t=9471,https://youtu.be/afUyitu-R0c?t=11535,pasa,1.0
2019.0,spring,LMS,5,,,DG,MAD,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015557?gameHash=905cfb369b5f3f35&tab=overview,https://youtu.be/afUyitu-R0c?t=12945,https://youtu.be/afUyitu-R0c?t=13334,https://youtu.be/afUyitu-R0c?t=14703,Kongyue,2.0
2019.0,spring,LMS,5,,,DG,MAD,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015564?gameHash=7e050b86673f664a&tab=overview,https://youtu.be/afUyitu-R0c?t=15908,https://youtu.be/afUyitu-R0c?t=16378,https://youtu.be/afUyitu-R0c?t=18054,Kongyue,3.0
2019.0,spring,LMS,5,ahq,HKA,ahq,HKA,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015649?gameHash=1a570690bf0a7b5f&tab=overview,https://youtu.be/exB0NcZu1qo?t=1836,https://youtu.be/exB0NcZu1qo?t=2589,https://youtu.be/exB0NcZu1qo?t=4923,Rainbow,1.0
2019.0,spring,LMS,5,,,HKA,ahq,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015653?gameHash=dfe83e1a7b24b84b&tab=overview,https://youtu.be/exB0NcZu1qo?t=6345,https://youtu.be/exB0NcZu1qo?t=6801,https://youtu.be/exB0NcZu1qo?t=8700,Wako,2.0
2019.0,spring,LMS,5,FW,JT,FW,JT,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015655?gameHash=0bfe6aa8c9cc808e&tab=overview,https://youtu.be/S6Em5AR9Umk?t=1189,https://youtu.be/S6Em5AR9Umk?t=1654,https://youtu.be/S6Em5AR9Umk?t=3192,Bugi,1.0
2019.0,spring,LMS,5,,,JT,FW,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015666?gameHash=b49262bd27c834cc&tab=overview,https://youtu.be/S6Em5AR9Umk?t=4713,https://youtu.be/S6Em5AR9Umk?t=5199,https://youtu.be/S6Em5AR9Umk?t=7763,Betty,2.0
2019.0,spring,LMS,5,JT,DG,JT,DG,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015706?gameHash=19b9f0b71071a35f&tab=overview,https://youtu.be/pQEuiwa7eT4?t=2278,https://youtu.be/pQEuiwa7eT4?t=2750,https://youtu.be/pQEuiwa7eT4?t=4929,Rest,1.0
2019.0,spring,LMS,5,,,JT,DG,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015709?gameHash=443e6ddca625eefa&tab=overview,https://youtu.be/pQEuiwa7eT4?t=6284,https://youtu.be/pQEuiwa7eT4?t=6696,https://youtu.be/pQEuiwa7eT4?t=8925,FoFo,2.0
2019.0,spring,LMS,5,HKA,MAD,HKA,MAD,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015722?gameHash=14acb454a75b1d5b&tab=overview,https://youtu.be/pQEuiwa7eT4?t=11376,https://youtu.be/pQEuiwa7eT4?t=11816,https://youtu.be/pQEuiwa7eT4?t=14326,Breeze,1.0
2019.0,spring,LMS,5,,,HKA,MAD,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015734?gameHash=e2ede07c961212bd&tab=overview,https://youtu.be/pQEuiwa7eT4?t=15508,https://youtu.be/pQEuiwa7eT4?t=15972,https://youtu.be/pQEuiwa7eT4?t=17608,Breeze,2.0
2019.0,spring,LMS,6,ahq,ALF,ahq,ALF,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1022924?gameHash=9e81ac650766b6f1&tab=overview,https://youtu.be/n36wdq2juXE?t=2387,https://youtu.be/n36wdq2juXE?t=2895,https://youtu.be/n36wdq2juXE?t=5041,Xiaoemo,1.0
2019.0,spring,LMS,6,,,ALF,ahq,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1022944?gameHash=cf11f6181b241f28&tab=overview,https://youtu.be/n36wdq2juXE?t=6095,https://youtu.be/n36wdq2juXE?t=6540,https://youtu.be/n36wdq2juXE?t=8292,Ysera,2.0
2019.0,spring,LMS,6,,,ahq,ALF,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1022955?gameHash=0b2efd0867d4af48&tab=overview,https://youtu.be/n36wdq2juXE?t=9372,https://youtu.be/n36wdq2juXE?t=9829,https://youtu.be/n36wdq2juXE?t=11782,Rainbow,3.0
