year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,set_number
2019.0,spring,LCL,4,DA,M19,DA,M19,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1081965?gameHash=22711b68ddd64638&tab=overview,https://frontend.vh.yandex.ru/player/454bce53e29c4dd0834c1721e553365a,1.0
2019.0,spring,LCL,4,EPG,VEG,EPG,VEG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1081993?gameHash=69227f2eb8535e4d&tab=overview,https://frontend.vh.yandex.ru/player/4107bf5157dae747aa2d63f1215ecd78,1.0
2019.0,spring,LCL,4,VS,GMB,VS,GMB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1082008?gameHash=8e6dc489423404b5&tab=overview,https://frontend.vh.yandex.ru/player/4ede4d5841647bddac542974c7b4e096,1.0
2019.0,spring,LCL,4,RoX,M19,RoX,M19,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1082049?gameHash=d14c3d9fb1734c3b&tab=overview,https://frontend.vh.yandex.ru/player/48fb96537ae7624db8a671322f9749df,1.0
2019.0,spring,LCL,4,VS,EPG,VS,EPG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1082078?gameHash=f6da8d34520d9be8&tab=overview,https://frontend.vh.yandex.ru/player/465eba62ae9f4bc39292573d0df312e2,1.0
2019.0,spring,LCL,4,TJ,RoX,TJ,RoX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1082095?gameHash=b7084700adff41b8&tab=overview,https://frontend.vh.yandex.ru/player/4ceea363fb17d124820dba9196e65509,1.0
2019.0,spring,LCL,5,M19,EPG,M19,EPG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1084321?gameHash=beb8cf6b4ee6247d&tab=overview,https://frontend.vh.yandex.ru/player/474446a23e4bd579b5e0e9dd7da886b6,1.0
2019.0,spring,LCL,5,VS,RoX,VS,RoX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1084341?gameHash=30fcb4815a65b9c7&tab=overview,https://frontend.vh.yandex.ru/player/4863fd3fd47b6f27865d7eadb60b2046,1.0
2019.0,spring,LCL,5,DA,GMB,DA,GMB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1084356?gameHash=9348538f6d7388a2&tab=overview,https://frontend.vh.yandex.ru/player/466c33158a7c5d6199814fc4f7d757ad,1.0
2019.0,spring,LCL,5,TJ,VEG,TJ,VEG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1084370?gameHash=60017326b5f98844&tab=overview,https://frontend.vh.yandex.ru/player/43d61f8a65d05b9393d9aefe849996b9,1.0
2019.0,spring,LCL,5,GMB,RoX,GMB,RoX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1084612?gameHash=e2083c8a8869057d&tab=overview,https://frontend.vh.yandex.ru/player/45ef9681d3183683ab3015fa8b6bb971,1.0
2019.0,spring,LCL,5,M19,VEG,M19,VEG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1084626?gameHash=2e832d108231a784&tab=overview,https://frontend.vh.yandex.ru/player/49952a894bdf60b7aff4a3da783e6855,1.0
2019.0,spring,LCL,5,EPG,DA,EPG,DA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1084635?gameHash=a316995fa75786e8&tab=overview,https://frontend.vh.yandex.ru/player/46c840224224186287ee0cd807040418,1.0
2019.0,spring,LCL,5,TJ,VS,TJ,VS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1084662?gameHash=5db17d3da56a147c&tab=overview,https://frontend.vh.yandex.ru/player/46ea5500f39e17199c26d52af133ac5f,1.0
2019.0,spring,LCL,Tiebreakers,EPG,GMB,EPG,GMB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1084683?gameHash=b10c001151208175&tab=overview,https://frontend.vh.yandex.ru/player/4cf38fe63a0b2c36839e1876202bd6ee,1.0
