year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,HL,MVP,set_number
2020.0,spring,VCS,2,,,DBL,FTV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304574?gameHash=a5dcde67b90f29e3&tab=overview,https://youtu.be/J_FtEhdPBzw?t=105,https://youtu.be/J_FtEhdPBzw?t=759,https://youtu.be/kyg3QJicix0?t=10,Naul,2.0
2020.0,spring,VCS,3,CES,FTV,CES,FTV,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306129?gameHash=b217b8e2856a6ed3,https://youtu.be/0ZGOU30NsOE?t=563,https://youtu.be/0ZGOU30NsOE?t=1039,https://youtu.be/Z-BdvkbdeGs?t=10,Yado,1.0
2020.0,spring,VCS,3,,,FTV,CES,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306151?gameHash=8567df2cde9077a6,https://youtu.be/IMffVQk1Gq0?t=78,https://youtu.be/IMffVQk1Gq0?t=591,https://youtu.be/laiBYacmJUs?t=10,Artemis,2.0
2020.0,spring,VCS,3,GAM,VGA,GAM,VGA,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306168?gameHash=7c5714e9176b874f,https://youtu.be/22q6S1XLeLA?t=516,https://youtu.be/22q6S1XLeLA?t=918,https://youtu.be/qBXe3-h6g9g?t=10,Kiaya,1.0
2020.0,spring,VCS,3,,,VGA,GAM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306181?gameHash=84490a1ef910efa9,https://youtu.be/2-R52bG-Te4?t=693,https://youtu.be/2-R52bG-Te4?t=1191,https://youtu.be/A4YzWMQFOvc?t=10,Dia1,2.0
2020.0,spring,VCS,3,EVS,TS,EVS,TS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306368?gameHash=ec282d2a9a705e6e,https://youtu.be/QCBmmBzJ9aw?t=377,https://youtu.be/QCBmmBzJ9aw?t=811,https://youtu.be/mgTQgrVNS_U?t=10,DNK,1.0
2020.0,spring,VCS,3,,,TS,EVS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306392?gameHash=b9ab16c21058bbb3,https://youtu.be/7S9UwAmew_s?t=111,https://youtu.be/7S9UwAmew_s?t=559,https://youtu.be/Ok-tMKDx5gQ?t=10,Bie,2.0
2020.0,spring,VCS,3,,,EVS,TS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306404?gameHash=c8695eafd45f13a4,https://youtu.be/cwlQ1dhfc6A?t=74,https://youtu.be/cwlQ1dhfc6A?t=499,https://youtu.be/sPtwLSlXcos?t=10,DNK,3.0
2020.0,spring,VCS,3,DBL,FL,DBL,FL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306415?gameHash=3e9de44e40adc42e,https://youtu.be/OLIzzgza9O0?t=266,https://youtu.be/OLIzzgza9O0?t=731,https://youtu.be/2Rl6nHAFN2I?t=10,Yoshino,1.0
2020.0,spring,VCS,3,,,FL,DBL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306424?gameHash=6d0fce70328a705a,https://youtu.be/kRUGEEBsSV4?t=100,https://youtu.be/kRUGEEBsSV4?t=548,https://youtu.be/xCHUiKPeGSQ?t=10,BigKoro,2.0
2020.0,spring,VCS,3,,,DBL,FL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306430?gameHash=43e6a5fd0b3b6dd4,https://youtu.be/Z9zmmsu_-qA?t=76,https://youtu.be/Z9zmmsu_-qA?t=460,https://youtu.be/31j8l0SRYvQ?t=10,Slayder,3.0
2020.0,spring,VCS,3,DBL,CES,DBL,CES,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306485?gameHash=1cc28a189be264fb,https://youtu.be/iGgcEe0iv2s?t=400,https://youtu.be/iGgcEe0iv2s?t=853,https://youtu.be/efjGJ6AuM34?t=10,Xuhao,1.0
2020.0,spring,VCS,3,,,CES,DBL,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306519?gameHash=27555f8386c5d8a5,https://youtu.be/aCMCNS9JkNo?t=247,https://youtu.be/aCMCNS9JkNo?t=753,https://youtu.be/6WcP5ek5Vtw?t=10,Xuhao,2.0
2020.0,spring,VCS,3,TS,GAM,TS,GAM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306527?gameHash=fc07d834d4c811f0,https://youtu.be/cUo1DXGyn3I?t=316,https://youtu.be/cUo1DXGyn3I?t=817,https://youtu.be/_yqukmIE3GE?t=10,Levi,1.0
2020.0,spring,VCS,3,,,GAM,TS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306529?gameHash=7c73483d7e791540,https://youtu.be/sbqhHcMxP3c?t=146,https://youtu.be/sbqhHcMxP3c?t=581,https://youtu.be/lXet9tCOVCo?t=10,Kiaya,2.0
2020.0,spring,VCS,4,FTV,EVS,FTV,EVS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1283771?gameHash=3951da2a8781f09d,https://youtu.be/PyF8-usalx0?t=645,https://youtu.be/PyF8-usalx0?t=1089,https://youtu.be/3sgx8v6x5_A?t=10,Victory,1.0
2020.0,spring,VCS,4,,,EVS,FTV,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1283791?gameHash=d95d521112a486d8,https://youtu.be/9-6T2J626GU?t=185,https://youtu.be/9-6T2J626GU?t=666,https://youtu.be/1PCzSidWzKw?t=10,TH,2.0
2020.0,spring,VCS,4,,,FTV,EVS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1283799?gameHash=8fec7dec546ebd12,https://youtu.be/Z9k9lUbQDes?t=138,https://youtu.be/Z9k9lUbQDes?t=580,https://youtu.be/DjIjd10PC-M?t=10,TH,3.0
