year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,HL,set_number
2020.0,summer,LJL,5,RJ,BC,RJ,BC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1434754?gameHash=58b4bf1581db5329,https://youtu.be/XNonOhw7od0?t=271,https://youtu.be/XNonOhw7od0?t=978,https://youtu.be/XNonOhw7od0?t=3193,https://youtu.be/XNonOhw7od0?t=3487,1.0
2020.0,summer,LJL,5,BC,AXZ,BC,AXZ,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1434783?gameHash=e50bff62671e2bef,https://youtu.be/diznBcQjO60?t=336,https://youtu.be/diznBcQjO60?t=999,https://youtu.be/diznBcQjO60?t=2904,https://youtu.be/diznBcQjO60?t=3243,1.0
2020.0,summer,LJL,5,V3,DFM,V3,DFM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1434795?gameHash=1a7a6a8ec29d49fd,https://youtu.be/jCndawQ-jW0?t=507,https://youtu.be/jCndawQ-jW0?t=1253,https://youtu.be/jCndawQ-jW0?t=3198,https://youtu.be/jCndawQ-jW0?t=3886,1.0
2020.0,summer,LJL,5,V3,CGA,V3,CGA,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1434814?gameHash=f3b076f3b40a153c,https://youtu.be/M9CsIzRvWPU?t=331,https://youtu.be/M9CsIzRvWPU?t=1010,https://youtu.be/M9CsIzRvWPU?t=3254,https://youtu.be/M9CsIzRvWPU?t=3638,1.0
2020.0,summer,LJL,5,CGA,SHG,CGA,SHG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1434842?gameHash=3b35c502667ab561,https://youtu.be/FJwHK0eNV6s?t=630,https://youtu.be/FJwHK0eNV6s?t=1300,https://youtu.be/FJwHK0eNV6s?t=2860,https://youtu.be/FJwHK0eNV6s?t=3355,1.0
2020.0,summer,LJL,5,DFM,SHG,DFM,SHG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1434866?gameHash=8326399b7efafcd4,https://youtu.be/Sz-1DiBeZxQ?t=352,https://youtu.be/Sz-1DiBeZxQ?t=1104,https://youtu.be/Sz-1DiBeZxQ?t=3176,https://youtu.be/Sz-1DiBeZxQ?t=3759,1.0
2020.0,summer,LJL,6,SG,BC,BC,SG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1435099?gameHash=534c3fc69eb819f8,https://youtu.be/V7Npw6re-vc?t=604,https://youtu.be/V7Npw6re-vc?t=1309,https://youtu.be/V7Npw6re-vc?t=3055,https://youtu.be/V7Npw6re-vc?t=3370,1.0
2020.0,summer,LJL,6,SHG,SG,SHG,SG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1435105?gameHash=22a34476feb6db6c,https://youtu.be/a0wpaRxjkfg?t=655,https://youtu.be/a0wpaRxjkfg?t=1402,https://youtu.be/a0wpaRxjkfg?t=3292,https://youtu.be/a0wpaRxjkfg?t=3733,1.0
2020.0,summer,LJL,6,SHG,V3,SHG,V3,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1435118?gameHash=23f1d4201923c22f,https://youtu.be/OCaHgs5B9m0?t=497,https://youtu.be/OCaHgs5B9m0?t=1225,https://youtu.be/OCaHgs5B9m0?t=2586,https://youtu.be/OCaHgs5B9m0?t=2842,1.0
2020.0,summer,LJL,6,DFM,BC,BC,DFM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1435130?gameHash=8f8b9d611b1ee97b,https://youtu.be/9EY80RzW6GY?t=318,https://youtu.be/9EY80RzW6GY?t=961,https://youtu.be/9EY80RzW6GY?t=2921,https://youtu.be/9EY80RzW6GY?t=3343,1.0
2020.0,summer,LJL,6,V3,RJ,V3,RJ,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1435170?gameHash=ccb84f59eb273026,https://youtu.be/Pb0pNzbH9lo?t=224,https://youtu.be/Pb0pNzbH9lo?t=943,https://youtu.be/Pb0pNzbH9lo?t=2490,https://youtu.be/Pb0pNzbH9lo?t=2987,1.0
2020.0,summer,LJL,6,RJ,CGA,CGA,RJ,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1435191?gameHash=154b0863884834e8,https://youtu.be/An-YQaOCWOU?t=335,https://youtu.be/An-YQaOCWOU?t=972,https://youtu.be/An-YQaOCWOU?t=3504,https://youtu.be/An-YQaOCWOU?t=3908,1.0
2020.0,summer,LJL,6,AXZ,DFM,DFM,AXZ,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1435221?gameHash=6c32e99aedef8c80,https://youtu.be/V5y5fhFdIpA?t=297,https://youtu.be/V5y5fhFdIpA?t=975,https://youtu.be/V5y5fhFdIpA?t=3073,https://youtu.be/V5y5fhFdIpA?t=3611,1.0
2020.0,summer,LJL,6,CGA,AXZ,AXZ,CGA,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1435240?gameHash=16459903b39ccedf,https://youtu.be/gfPuKgri8rs?t=229,https://youtu.be/gfPuKgri8rs?t=859,https://youtu.be/gfPuKgri8rs?t=2646,https://youtu.be/gfPuKgri8rs?t=3476,1.0
2020.0,summer,LJL,7,DFM,RJ,DFM,RJ,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1436451?gameHash=c66314649caf605b,https://youtu.be/68G8h4xmdRA?t=801,https://youtu.be/68G8h4xmdRA?t=1494,https://youtu.be/68G8h4xmdRA?t=3203,https://youtu.be/68G8h4xmdRA?t=3615,1.0
2020.0,summer,LJL,7,CGA,DFM,CGA,DFM,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1436453?gameHash=1750de5b41c17230,https://youtu.be/SXKLY8jACmw?t=527,https://youtu.be/SXKLY8jACmw?t=1099,https://youtu.be/SXKLY8jACmw?t=2475,https://youtu.be/SXKLY8jACmw?t=2902,1.0
2020.0,summer,LJL,7,CGA,SG,CGA,SG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1436460?gameHash=de431a30c5a47958,https://youtu.be/EsOD5N6vvFM?t=340,https://youtu.be/EsOD5N6vvFM?t=1028,https://youtu.be/EsOD5N6vvFM?t=2869,https://youtu.be/EsOD5N6vvFM?t=3178,1.0
2020.0,summer,LJL,7,AXZ,RJ,RJ,AXZ,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1436466?gameHash=c9affa6e5aa0ae2f,https://youtu.be/_kVF9nHMyzA?t=320,https://youtu.be/_kVF9nHMyzA?t=1005,https://youtu.be/_kVF9nHMyzA?t=2983,https://youtu.be/_kVF9nHMyzA?t=3414,1.0
2020.0,summer,LJL,7,SG,V3,SG,V3,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1436488?gameHash=07b7129183c15cc4,https://youtu.be/YppLTuQ8hg8?t=711,https://youtu.be/YppLTuQ8hg8?t=1375,https://youtu.be/YppLTuQ8hg8?t=3120,https://youtu.be/YppLTuQ8hg8?t=3837,1.0
2020.0,summer,LJL,7,V3,BC,V3,BC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1436504?gameHash=59c83943d2218c3c,https://youtu.be/mZHtWuI7ffk?t=398,https://youtu.be/mZHtWuI7ffk?t=1016,https://youtu.be/mZHtWuI7ffk?t=2685,https://youtu.be/mZHtWuI7ffk?t=3162,1.0
2020.0,summer,LJL,7,AXZ,SHG,SHG,AXZ,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1436520?gameHash=ed5f2b8a369e5273,https://youtu.be/_4VsRaw1qPE?t=343,https://youtu.be/_4VsRaw1qPE?t=1021,https://youtu.be/_4VsRaw1qPE?t=2765,https://youtu.be/_4VsRaw1qPE?t=3307,1.0
2020.0,summer,LJL,7,BC,SHG,BC,SHG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1436528?gameHash=e313859e08913b24,https://youtu.be/p0AmnI3Xslc?t=384,https://youtu.be/p0AmnI3Xslc?t=1025,https://youtu.be/p0AmnI3Xslc?t=2770,https://youtu.be/p0AmnI3Xslc?t=3644,1.0
2020.0,summer,LJL,Tiebreakers,DFM,SHG,DFM,SHG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1436665?gameHash=6047ad32193253fc,https://youtu.be/BoNCjOECJlA?t=547,https://youtu.be/BoNCjOECJlA?t=1247,https://youtu.be/BoNCjOECJlA?t=3592,https://youtu.be/BoNCjOECJlA?t=4159,1.0
