year,season,league_name,week,team_1,team_2,MH,Vod,PB,Start,set_number
2017.0,spring,LJL,6,DFM,RPG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70738?gameHash=6bc3e607eddbed08&tab=overview,http://www.youtube.com/watch?v=iPcCzwD1Z0U&t=5m44s,,,1.0
2017.0,spring,LJL,6,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70772?gameHash=d16d47afb1ee4094&tab=overview,http://www.youtube.com/watch?v=hWKPgi2SYcA&t=2m54s,,,2.0
2017.0,spring,LJL,6,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/70777?gameHash=f2c5d6168507daf8&tab=overview,http://www.youtube.com/watch?v=7NWutcF6nb0&t=2m06s,,,3.0
2017.0,spring,LJL,7,RPG,RJ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/60836?gameHash=840699ee206c4bcc&tab=overview,http://www.youtube.com/watch?v=PKBz8cGzZqM&t=5m39s,,,1.0
2017.0,spring,LJL,7,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/60846?gameHash=5e47a28c967643be&tab=overview,http://www.youtube.com/watch?v=m0UBY2WK_k8&t=1m45s,,,2.0
2017.0,spring,LJL,7,DFM,USG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/60857?gameHash=5a8724cc3c31d8cd&tab=overview,http://www.youtube.com/watch?v=YZwSySSb4zE&t=20m29s,,,1.0
2017.0,spring,LJL,7,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/60896?gameHash=2ca9fe97e32afb38&tab=overview,http://www.youtube.com/watch?v=zYI5FVnMyWg&t=1m32s,,,2.0
2017.0,spring,LJL,7,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/60898?gameHash=e85e184b47461a68&tab=overview,http://www.youtube.com/watch?v=C6WtAv366uo&t=2m52s,,,3.0
2017.0,spring,LJL,7,7h,SCARZ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/60905?gameHash=b124e8127cd1f87a&tab=overview,http://www.youtube.com/watch?v=3XnYTMp6Zdg&t=7m09s,,,1.0
2017.0,spring,LJL,7,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/60929?gameHash=c7d64d89e6968dd0&tab=overview,http://www.youtube.com/watch?v=nPVLrx2_zro&t=1m26s,,,2.0
2017.0,spring,LJL,8,SCARZ,DFM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/90416?gameHash=4edd6d9e79affcd9&tab=overview,http://www.youtube.com/watch?v=WIJYy-Tn738&t=8m23s,,,1.0
2017.0,spring,LJL,8,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/90427?gameHash=5f3151e251d21286&tab=overview,http://www.youtube.com/watch?v=X-WJ-pCan6s&t=3m03s,,,2.0
2017.0,spring,LJL,8,USG,RPG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/80431?gameHash=3a1e6faa92c8b190&tab=overview,http://www.youtube.com/watch?v=7tH0OOp1pis&t=6m22s,,,1.0
2017.0,spring,LJL,8,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/80476?gameHash=54ac584e4b75b106&tab=overview,http://www.youtube.com/watch?v=jsnNFjyCRUo&t=1m52s,,,2.0
2017.0,spring,LJL,8,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/80478?gameHash=62ac55426b319145&tab=overview,http://www.youtube.com/watch?v=QJcJevnPB8U&t=2m05s,,,3.0
2017.0,spring,LJL,8,RJ,7h,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/80505?gameHash=f05983a794214069&tab=overview,http://www.youtube.com/watch?v=2D4HfYqXkW8&t=6m46s,,,1.0
2017.0,spring,LJL,8,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/80530?gameHash=45c11137f78c2aa3&tab=overview,http://www.youtube.com/watch?v=hD_oUuUUpWg&t=2m07s,,,2.0
2017.0,spring,LJL,8,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/80532?gameHash=ebf3b1a721dc6fde&tab=overview,http://www.youtube.com/watch?v=EpgdoluN-1k&t=1m18s,,,3.0
2017.0,spring,LJL,9,RJ,USG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/90995?gameHash=18f0124e7ddd67c7&tab=overview,http://www.youtube.com/watch?v=3B4QNxIEyRc&t=4m59s,,,1.0
2017.0,spring,LJL,9,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/91005?gameHash=6f095732b6bc6e34&tab=overview,http://www.youtube.com/watch?v=KOmeIApPiZs&t=2m25s,,,2.0
2017.0,spring,LJL,9,7h,DFM,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/91045?gameHash=04ff0e5487aaef58&tab=overview,http://www.youtube.com/watch?v=jOQWuILdaf8&t=5m21s,,,1.0
2017.0,spring,LJL,9,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/91053?gameHash=58f2547682f60925&tab=overview,http://www.youtube.com/watch?v=JirQoH04B5c&t=5m04s,,,2.0
2017.0,spring,LJL,9,SCARZ,RPG,,http://www.youtube.com/watch?v=MHxR38eCN84&t=7m08s,,,1.0
2017.0,spring,LJL,9,,,,http://www.youtube.com/watch?v=yy1hxBS3K0c&t=2m54s,,,2.0
2017.0,spring,LJL,10,DFM,RJ,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140170?gameHash=9556cb8494c3a41f&tab=overview,http://www.youtube.com/watch?v=Yc43BR7h6zs&t=7m15s,,,1.0
2017.0,spring,LJL,10,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140189?gameHash=52510b5b876ca1fa&tab=overview,http://www.youtube.com/watch?v=cAtadmcySFE&t=3m21s,,,2.0
2017.0,spring,LJL,10,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140200?gameHash=80acc01bb25c2ed9&tab=overview,http://www.youtube.com/watch?v=1W9LQKeLtGc&t=1m27s,,,3.0
2017.0,spring,LJL,10,RPG,7h,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140262?gameHash=3d93bc2c7c1dd5cc&tab=overview,http://www.youtube.com/watch?v=UjX0TmS5SuE&t=5m45s,,,1.0
2017.0,spring,LJL,10,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140263?gameHash=b48b1a8ecbff8232&tab=overview,http://www.youtube.com/watch?v=Vxfk98TH6To&t=2m55s,,,2.0
2017.0,spring,LJL,10,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140273?gameHash=4fc4eb7bab5909d6&tab=overview,http://www.youtube.com/watch?v=w3mbz8IA8sY&t=1m31s,,,3.0
2017.0,spring,LJL,10,SCARZ,USG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140287?gameHash=86fa0acbd5caf936&tab=overview,http://www.youtube.com/watch?v=INfbSAgDyvE&t=5m25s,,,1.0
2017.0,spring,LJL,10,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140302?gameHash=edcc31a1a0143608&tab=overview,http://www.youtube.com/watch?v=9kPfps9_PAY&t=1m57s,,,2.0
2017.0,spring,LJL,10,,,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/140303?gameHash=8bbdf91c044dfa81&tab=overview,http://www.youtube.com/watch?v=cJWxaO6itO4&t=2m01s,,,3.0
