year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,set_number
2019.0,spring,ECS,5,,,AF,KE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1002788?gameHash=0df019f6c569f4a5&tab=overview,https://youtu.be/y8pYvDQprIU?t=13071,https://youtu.be/y8pYvDQprIU?t=13466,https://youtu.be/y8pYvDQprIU?t=15460,2.0
2019.0,spring,ECS,5,MCX,GRI,MCX,GRI,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1003121?gameHash=49fd53a3a3d50ef5&tab=overview,https://youtu.be/Gmzy7A0sjao?t=1927,https://youtu.be/Gmzy7A0sjao?t=2487,https://youtu.be/Gmzy7A0sjao?t=4578,1.0
2019.0,spring,ECS,5,,,GRI,MCX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1013253?gameHash=a9616054de436d00&tab=overview,https://youtu.be/Gmzy7A0sjao?t=5379,https://youtu.be/Gmzy7A0sjao?t=5885,https://youtu.be/Gmzy7A0sjao?t=7877,2.0
2019.0,spring,ECS,5,JII,FS,JII,FS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1013264?gameHash=e25371937fa6a290&tab=overview,https://youtu.be/Gmzy7A0sjao?t=8705,https://youtu.be/Gmzy7A0sjao?t=9162,https://youtu.be/Gmzy7A0sjao?t=11487,1.0
2019.0,spring,ECS,5,,,FS,JII,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1013274?gameHash=b63c6a08163a1350&tab=overview,https://youtu.be/Gmzy7A0sjao?t=12203,https://youtu.be/Gmzy7A0sjao?t=12909,https://youtu.be/Gmzy7A0sjao?t=14733,2.0
2019.0,spring,ECS,6,GRI,FS,GRI,FS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1005170?gameHash=2d1198ccf27605d9&tab=overview,https://youtu.be/i-R_SYMHVO4?t=1982,https://youtu.be/i-R_SYMHVO4?t=2535,https://youtu.be/i-R_SYMHVO4?t=4188,1.0
2019.0,spring,ECS,6,,,FS,GRI,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1005172?gameHash=dbd69436c29b3394&tab=overview,https://youtu.be/i-R_SYMHVO4?t=5047,https://youtu.be/i-R_SYMHVO4?t=5525,https://youtu.be/i-R_SYMHVO4?t=6907,2.0
2019.0,spring,ECS,6,SE,MCX,SE,MCX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1005177?gameHash=a1003e2cb0f29633&tab=overview,https://youtu.be/i-R_SYMHVO4?t=7730,https://youtu.be/i-R_SYMHVO4?t=8239,https://youtu.be/i-R_SYMHVO4?t=10179,1.0
2019.0,spring,ECS,6,,,MCX,SE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015350?gameHash=e416c84df10181d5&tab=overview,https://youtu.be/i-R_SYMHVO4?t=10994,https://youtu.be/i-R_SYMHVO4?t=11440,https://youtu.be/i-R_SYMHVO4?t=13104,2.0
2019.0,spring,ECS,6,AF,JII,AF,JII,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1015465?gameHash=bab626bcff784d7f&tab=overview,https://youtu.be/YK3OQiSLOBk?t=2017,https://youtu.be/YK3OQiSLOBk?t=2611,https://youtu.be/YK3OQiSLOBk?t=5125,1.0
2019.0,spring,ECS,6,,,JII,AF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1005287?gameHash=6fca9aa83147366b&tab=overview,https://youtu.be/YK3OQiSLOBk?t=5930,https://youtu.be/YK3OQiSLOBk?t=6346,https://youtu.be/YK3OQiSLOBk?t=7734,2.0
2019.0,spring,ECS,6,KE,FD,,,,,,,1.0
2019.0,spring,ECS,7,FS,AF,FS,AF,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1032144?gameHash=97bafaefc4c58083&tab=overview,https://youtu.be/bkOSQfpyUBo?t=2056,https://youtu.be/bkOSQfpyUBo?t=2603,https://youtu.be/bkOSQfpyUBo?t=4296,1.0
2019.0,spring,ECS,7,,,AF,FS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1032164?gameHash=c75461590b91e05e&tab=overview,https://youtu.be/bkOSQfpyUBo?t=5050,https://youtu.be/bkOSQfpyUBo?t=5514,https://youtu.be/bkOSQfpyUBo?t=7872,2.0
2019.0,spring,ECS,7,JII,GRI,JII,GRI,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1032174?gameHash=0d71c3ed2ae586d1&tab=overview,https://youtu.be/bkOSQfpyUBo?t=8778,https://youtu.be/bkOSQfpyUBo?t=9280,https://youtu.be/bkOSQfpyUBo?t=11471,1.0
2019.0,spring,ECS,7,,,GRI,JII,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1032182?gameHash=3b1cf59212410e5a&tab=overview,https://youtu.be/bkOSQfpyUBo?t=12300,https://youtu.be/bkOSQfpyUBo?t=12777,https://youtu.be/bkOSQfpyUBo?t=15060,2.0
2019.0,spring,ECS,7,KE,SE,KE,SE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1032485?gameHash=dccaeb0ca34e5a97&tab=overview,https://youtu.be/TY4dcMZ-owo?t=5736,https://youtu.be/TY4dcMZ-owo?t=6321,https://youtu.be/TY4dcMZ-owo?t=7858,1.0
2019.0,spring,ECS,7,,,SE,KE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1022503?gameHash=fc4f279da5ef4069&tab=overview,https://youtu.be/TY4dcMZ-owo?t=8766,https://youtu.be/TY4dcMZ-owo?t=9291,https://youtu.be/TY4dcMZ-owo?t=10588,2.0
2019.0,spring,ECS,7,FD,MCX,FD,MCX,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1032506?gameHash=2f9aaa8392b0d0b0,https://youtu.be/TY4dcMZ-owo?t=11574,https://youtu.be/TY4dcMZ-owo?t=12064,https://youtu.be/TY4dcMZ-owo?t=13708,1.0
2019.0,spring,ECS,7,,,MCX,FD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1022534?gameHash=c5b6e8844757a2be&tab=overview,https://youtu.be/TY4dcMZ-owo?t=14572,https://youtu.be/TY4dcMZ-owo?t=15038,https://youtu.be/TY4dcMZ-owo?t=16281,2.0
2019.0,spring,ECS,Tiebreakers,JII,GRI,JII,GRI,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1032456?gameHash=4e7d6b6363e6feea&tab=overview,https://youtu.be/TY4dcMZ-owo?t=2136,https://youtu.be/TY4dcMZ-owo?t=2622,https://youtu.be/TY4dcMZ-owo?t=4918,1.0
