year,season,league_name,week,team_1,team_2,Blue,Red,MH,Start,HL,PB,set_number
2019.0,summer,TPL_a,6,AUR.A,BS.A,BS.A,AUR.A,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1031222?gameHash=499b9113d20df4d3&tab=overview,https://youtu.be/Ai-PKm7PV68?t=346,https://www.youtube.com/watch?v=dt3F1n7QrKE,https://youtu.be/Ai-PKm7PV68?t=1,1.0
2019.0,summer,TPL_a,7,GAL.A,AUR.A,AUR.A,GAL.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980137?gameHash=67d8222b6c3e9d83&tab=overview,https://youtu.be/HPVGvV_PFzM?t=359,https://www.youtube.com/watch?v=yUS68o_U2f0,https://youtu.be/HPVGvV_PFzM?t=1,1.0
2019.0,summer,TPL_a,7,BS.A,SUP.A,SUP.A,BS.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980146?gameHash=ba8d399e687398da&tab=overview,https://youtu.be/RLbX3X0U7vc?t=307,https://www.youtube.com/watch?v=UX46GqhEm6I,https://youtu.be/RLbX3X0U7vc?t=1,1.0
2019.0,summer,TPL_a,7,IWC.A,DP.A,DP.A,IWC.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980152?gameHash=27a111fac56f0c28&tab=overview,https://youtu.be/8-ueLjXnYQk?t=214,https://www.youtube.com/watch?v=oavB_eQ0fSk,https://youtu.be/8-ueLjXnYQk?t=1,1.0
2019.0,summer,TPL_a,7,FB.A,GS.A,FB.A,GS.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980164?gameHash=48d77923c3b1c7dd&tab=overview,https://youtu.be/brNpIM5-ul0?t=391,https://www.youtube.com/watch?v=9QVdCoEOKl4,https://youtu.be/brNpIM5-ul0?t=1,1.0
2019.0,summer,TPL_a,7,RY.A,BJK.A,,,,,,,1.0
2019.0,summer,TPL_a,7,SUP.A,GAL.A,GAL.A,SUP.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/990173?gameHash=5fa9dcfa406b607e&tab=overview,https://youtu.be/FyT0bmSXoUA?t=377,https://www.youtube.com/watch?v=GJA0WqFVhI0,https://youtu.be/FyT0bmSXoUA?t=1,1.0
2019.0,summer,TPL_a,7,AUR.A,GS.A,GS.A,AUR.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/990182?gameHash=4aebbaf5a49b6983&tab=overview,https://youtu.be/8gy9A0mnLII?t=474,https://www.youtube.com/watch?v=r1bY2QryEN4,https://youtu.be/8gy9A0mnLII?t=1,1.0
2019.0,summer,TPL_a,7,DP.A,FB.A,FB.A,DP.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/990198?gameHash=3abe82695767deed&tab=overview,https://youtu.be/ulVdl5BRWGs?t=437,https://www.youtube.com/watch?v=7D2CLWdBWNk,https://youtu.be/ulVdl5BRWGs?t=1,1.0
2019.0,summer,TPL_a,7,BS.A,RY.A,RY.A,BS.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/990202?gameHash=8f8650d8ced0f65d&tab=overview,https://youtu.be/MXb6RM2YldA?t=443,https://www.youtube.com/watch?v=D1s8PspYIaY,https://youtu.be/MXb6RM2YldA?t=1,1.0
2019.0,summer,TPL_a,7,BJK.A,IWC.A,IWC.A,BJK.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/990208?gameHash=a92c78e4071da59a&tab=overview,https://youtu.be/85l6YDiqPGM?t=426,https://www.youtube.com/watch?v=Zy18sQOlMTY,https://youtu.be/85l6YDiqPGM?t=1,1.0
