year,season,league_name,week,team_1,team_2,Blue,Red,MH,Start,Post,PB,set_number
2020.0,spring,LCS_a,5,100.A,TSM.A,100.A,TSM.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1284067?gameHash=adb5beee89168f6a&tab=overview,https://www.youtube.com/watch?v=ATEep3Ep7G0,,,1.0
2020.0,spring,LCS_a,5,GG.A,FLY.A,FLY.A,GG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1294012?gameHash=1c02ea81996c5889&tab=overview,https://www.youtube.com/watch?v=qc5ONlTAZWY,,,1.0
2020.0,spring,LCS_a,5,TL.A,EG.A,EG.A,TL.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1284112?gameHash=82a9a31284b63a91&tab=overview,https://www.youtube.com/watch?v=3KCq_RblgCs,,,1.0
2020.0,spring,LCS_a,5,DIG.A,IMT.A,DIG.A,IMT.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1294035?gameHash=a1a9d63cc79025a0&tab=overview,https://www.youtube.com/watch?v=STLJeIuCzEg,,,1.0
2020.0,spring,LCS_a,5,C9.A,CLG.A,C9.A,CLG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1294082?gameHash=e2b73c549b835459&tab=overview,https://youtu.be/jBy5WbredwM?t=35,https://youtu.be/jBy5WbredwM?t=1702,,1.0
2020.0,spring,LCS_a,5,FLY.A,CLG.A,CLG.A,FLY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1294536?gameHash=9220fa88d00ea3db&tab=overview,https://youtu.be/OkNPgeVZle0?t=446,https://youtu.be/OkNPgeVZle0?t=2502,https://youtu.be/OkNPgeVZle0?t=38,1.0
2020.0,spring,LCS_a,5,TSM.A,EG.A,TSM.A,EG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1294968?gameHash=20feacc0ce5f88a9&tab=overview,https://youtu.be/1c0wThtX70w?t=182,https://youtu.be/1c0wThtX70w?t=2401,,1.0
2020.0,spring,LCS_a,5,TL.A,DIG.A,TL.A,DIG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1295294?gameHash=f33db4a1656ba261&tab=overview,https://youtu.be/ACzQQEFZDIU?t=332,https://youtu.be/ACzQQEFZDIU?t=2818,,1.0
2020.0,spring,LCS_a,5,GG.A,100.A,GG.A,100.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1295315?gameHash=87c3ed976109bbd1&tab=overview,https://youtu.be/y-5_vMSYRD8?t=691,https://youtu.be/y-5_vMSYRD8?t=2747,https://youtu.be/y-5_vMSYRD8?t=275,1.0
2020.0,spring,LCS_a,5,C9.A,IMT.A,C9.A,IMT.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1295331?gameHash=60739daae186d854,https://youtu.be/3-B-vJ9QVSk?t=729,https://youtu.be/3-B-vJ9QVSk?t=2511,https://youtu.be/3-B-vJ9QVSk?t=252,1.0
2020.0,spring,LCS_a,6,FLY.A,DIG.A,DIG.A,FLY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1320910?gameHash=e517d67ae5bb0b2e&tab=overview,https://www.youtube.com/watch?v=RycsgGcyoAk,,,1.0
2020.0,spring,LCS_a,6,TL.A,IMT.A,TL.A,IMT.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1320885?gameHash=23b73e11678ff3a8&tab=overview,https://www.youtube.com/watch?v=1XVgvFiAuUI,,,1.0
2020.0,spring,LCS_a,6,100.A,EG.A,100.A,EG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1330886?gameHash=70697596612423e6&tab=overview,https://www.youtube.com/watch?v=N1hzn2GBVl0,,,1.0
2020.0,spring,LCS_a,6,TSM.A,CLG.A,TSM.A,CLG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1330903?gameHash=c7da3d587764ad85&tab=overview,https://www.youtube.com/watch?v=L9SX_SBiOgA,,,1.0
2020.0,spring,LCS_a,6,C9.A,GG.A,C9.A,GG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1320920?gameHash=b116ee265220baa3&tab=overview,https://www.youtube.com/watch?v=pXud0aFMOLQ,https://youtu.be/pXud0aFMOLQ?t=2141,,1.0
2020.0,spring,LCS_a,6,100.A,TL.A,TL.A,100.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1331234?gameHash=ba409173a1f8905b&tab=overview,https://youtu.be/2RAj3EZviTs?t=182,https://youtu.be/2RAj3EZviTs?t=1744,,1.0
2020.0,spring,LCS_a,6,TSM.A,FLY.A,FLY.A,TSM.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1331623?gameHash=72287fa648ee1d22&tab=overview,https://youtu.be/WUq1MvTgrBM?t=202,,,1.0
2020.0,spring,LCS_a,6,CLG.A,IMT.A,CLG.A,IMT.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1331919?gameHash=047d0b9565a40628&tab=overview,https://youtu.be/07ltp2WkEto?t=125,https://youtu.be/07ltp2WkEto?t=2148,,1.0
2020.0,spring,LCS_a,6,GG.A,EG.A,EG.A,GG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1331951?gameHash=42423216ee3aa37c&tab=overview,https://youtu.be/oRspIl-Cra0?t=1244,https://youtu.be/oRspIl-Cra0?t=3688,https://youtu.be/oRspIl-Cra0?t=849,1.0
2020.0,spring,LCS_a,6,C9.A,DIG.A,C9.A,DIG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1331999?gameHash=189e78a4f8bf0cd8,https://youtu.be/vMIIYxS5ONU?t=629,https://youtu.be/vMIIYxS5ONU?t=3236,https://youtu.be/vMIIYxS5ONU?t=242,1.0
2020.0,spring,LCS_a,7,FLY.A,EG.A,EG.A,FLY.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1334158?gameHash=6545a12a9bcce5f8,https://www.youtube.com/watch?v=wFP2IUPeTJM,,,1.0
2020.0,spring,LCS_a,7,100.A,IMT.A,100.A,IMT.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323942?gameHash=b1dd97b683e698be,https://www.youtube.com/watch?v=fu4q6fQCZcI,,,1.0
2020.0,spring,LCS_a,7,TL.A,CLG.A,CLG.A,TL.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323923?gameHash=58d107ff6125f71e,https://www.youtube.com/watch?v=2jyWqMNOnRM,,,1.0
2020.0,spring,LCS_a,7,GG.A,DIG.A,GG.A,DIG.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1334135?gameHash=1ac0f22581434d01,https://www.youtube.com/watch?v=tIxMnMM5hYY,,,1.0
2020.0,spring,LCS_a,7,C9.A,TSM.A,TSM.A,C9.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1323955?gameHash=2e804e85df39f532,https://youtu.be/pOT2aY0c2bk?t=73,https://youtu.be/pOT2aY0c2bk?t=1870,,1.0
2020.0,spring,LCS_a,7,TSM.A,TL.A,TSM.A,TL.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1334705?gameHash=85f28a78f4f3dba3,https://youtu.be/dnqE48KzXBg?t=148,https://youtu.be/dnqE48KzXBg?t=1964,,1.0
2020.0,spring,LCS_a,7,C9.A,FLY.A,FLY.A,C9.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1170791?gameHash=81f56edfa9b416a2&tab=overview,https://youtu.be/ZX7fqJhsAK0?t=128,https://youtu.be/ZX7fqJhsAK0?t=2407,,1.0
2020.0,spring,LCS_a,7,CLG.A,EG.A,CLG.A,EG.A,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1170811?gameHash=8adf3b6ccaec2f4f,https://youtu.be/2WOGbRa0SJA?t=149,https://youtu.be/2WOGbRa0SJA?t=2522,,1.0
2020.0,spring,LCS_a,7,100.A,DIG.A,DIG.A,100.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1170820?gameHash=9fa32aa552d616ae,https://youtu.be/EGPbr5l_4QM?t=775,https://youtu.be/EGPbr5l_4QM?t=3837,https://youtu.be/EGPbr5l_4QM?t=416,1.0
2020.0,spring,LCS_a,7,GG.A,IMT.A,GG.A,IMT.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1170829?gameHash=e0b45b286dbbaba4,https://youtu.be/4BNbTbgSwPc?t=806,https://youtu.be/4BNbTbgSwPc?t=3502,https://youtu.be/4BNbTbgSwPc?t=361,1.0
2020.0,spring,LCS_a,8,GG.A,TSM.A,TSM.A,GG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1323141?gameHash=8b80d72aed2109fe&tab=overview,https://youtu.be/oNppYKBTVFo?t=42,https://youtu.be/oNppYKBTVFo?t=1645,,1.0
2020.0,spring,LCS_a,8,C9.A,100.A,C9.A,100.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1313241?gameHash=e7e1b0caea97ae9d,https://youtu.be/zHPKvYyBxMI?t=530,https://youtu.be/zHPKvYyBxMI?t=2246,https://youtu.be/zHPKvYyBxMI?t=51,1.0
2020.0,spring,LCS_a,8,FLY.A,IMT.A,IMT.A,FLY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1323170?gameHash=d1377aa55db23d3e&tab=overview,https://youtu.be/I6F9wSCsYlU?t=799,https://youtu.be/I6F9wSCsYlU?t=2573,https://youtu.be/I6F9wSCsYlU?t=51,1.0
2020.0,spring,LCS_a,8,CLG.A,DIG.A,DIG.A,CLG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1313299?gameHash=cefe84536e6b9be9&tab=overview,https://youtu.be/EDr9FcPQ_zo?t=790,https://youtu.be/EDr9FcPQ_zo?t=2515,https://youtu.be/EDr9FcPQ_zo?t=42,1.0
2020.0,spring,LCS_a,8,TL.A,EG.A,TL.A,EG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1323219?gameHash=6973fe41ce86a56d,https://youtu.be/ncSGsB2FIvg?t=838,https://youtu.be/ncSGsB2FIvg?t=3531,https://youtu.be/ncSGsB2FIvg?t=68,1.0
2020.0,spring,LCS_a,8,GG.A,TL.A,GG.A,TL.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1313641?gameHash=c732bb68a3fb5031,https://youtu.be/JFLQb_KLNhY?t=1021,https://youtu.be/JFLQb_KLNhY?t=4210,https://youtu.be/JFLQb_KLNhY?t=116,1.0
2020.0,spring,LCS_a,8,DIG.A,EG.A,EG.A,DIG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1313662?gameHash=d0c576139d879f3e,https://youtu.be/_Evb_rYhre4?t=25,https://youtu.be/_Evb_rYhre4?t=1931,,1.0
2020.0,spring,LCS_a,8,C9.A,CLG.A,CLG.A,C9.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1313692?gameHash=eb0deb064bf4fb28&tab=overview,https://youtu.be/DKUlYBNDYWI?t=824,https://youtu.be/DKUlYBNDYWI?t=2261,https://youtu.be/DKUlYBNDYWI?t=40,1.0
2020.0,spring,LCS_a,8,100.A,FLY.A,100.A,FLY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1313707?gameHash=a1e471e9b32fbbbd&tab=overview,https://youtu.be/BPr9v6PvnBw?t=781,https://youtu.be/BPr9v6PvnBw?t=2314,https://youtu.be/BPr9v6PvnBw?t=38,1.0
2020.0,spring,LCS_a,8,TSM.A,IMT.A,IMT.A,TSM.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1313713?gameHash=4b7d1d93a89cf9d6&tab=overview,https://youtu.be/XKxN4x7rBSs?t=918,https://youtu.be/XKxN4x7rBSs?t=2927,https://youtu.be/XKxN4x7rBSs?t=56,1.0
2020.0,spring,LCS_a,9,GG.A,CLG.A,CLG.A,GG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1320736?gameHash=d49973253a0ed3c4,https://youtu.be/eIPebj24qYk?t=956,https://youtu.be/eIPebj24qYk?t=2852,https://youtu.be/eIPebj24qYk?t=189,1.0
2020.0,spring,LCS_a,9,DIG.A,IMT.A,DIG.A,IMT.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1320753?gameHash=9752c11a3fe08c79,https://youtu.be/zhU9Ly_wtvk?t=879,https://youtu.be/zhU9Ly_wtvk?t=3823,https://youtu.be/zhU9Ly_wtvk?t=67,1.0
2020.0,spring,LCS_a,9,FLY.A,TL.A,FLY.A,TL.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1320781?gameHash=5d41bc02c1979a37,https://youtu.be/aRBYf7EjxoU?t=819,https://youtu.be/aRBYf7EjxoU?t=2513,https://youtu.be/aRBYf7EjxoU?t=76,1.0
2020.0,spring,LCS_a,9,100.A,TSM.A,TSM.A,100.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1320811?gameHash=2c4f17374cc1324f,https://youtu.be/LMLLX4DF8Do?t=882,https://youtu.be/LMLLX4DF8Do?t=2956,https://youtu.be/LMLLX4DF8Do?t=91,1.0
2020.0,spring,LCS_a,9,C9.A,EG.A,C9.A,EG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1320823?gameHash=4380ee5e85b8fbe8,https://youtu.be/iKHR0kbhxAk?t=925,https://youtu.be/iKHR0kbhxAk?t=2696,https://youtu.be/iKHR0kbhxAk?t=95,1.0
2020.0,spring,LCS_a,9,100.A,CLG.A,100.A,CLG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1321020?gameHash=074b7410b0d2369e,https://youtu.be/RqhcLaoQTB8?t=894,https://youtu.be/RqhcLaoQTB8?t=2880,https://youtu.be/RqhcLaoQTB8?t=132,1.0
2020.0,spring,LCS_a,9,GG.A,FLY.A,GG.A,FLY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1331076?gameHash=1e6318628798eb34,https://youtu.be/tAw1zZs_36E?t=858,https://youtu.be/tAw1zZs_36E?t=2990,https://youtu.be/tAw1zZs_36E?t=79,1.0
2020.0,spring,LCS_a,9,TSM.A,DIG.A,DIG.A,TSM.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1321062?gameHash=c9fbcc71823cc05c,https://youtu.be/vpfR4m1imhU?t=887,https://youtu.be/vpfR4m1imhU?t=3096,https://youtu.be/vpfR4m1imhU?t=100,1.0
