year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,HL,MVP,Post,set_number
2019.0,summer,TCL,7,IW,FB,FB,IW,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1031447?gameHash=9a2b05cc8c78c51a,https://www.youtube.com/watch?v=uiiAg-vYNIY,https://youtu.be/uiiAg-vYNIY?t=527,https://www.youtube.com/watch?v=sI09AT0mV2w,Blue,,1.0
2019.0,summer,TCL,7,AUR,BUR,BUR,AUR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1031459?gameHash=b0ad5f32a6bb9ed8,https://www.youtube.com/watch?v=qiZ373KGO_Q,https://youtu.be/qiZ373KGO_Q?t=518,https://www.youtube.com/watch?v=_WUrVLzorlk,Eren,,1.0
2019.0,summer,TCL,8,GAL,AUR,AUR,GAL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980368?gameHash=c6b1f4e8d18c97ff,https://www.youtube.com/watch?v=FngLlppw8y4,https://youtu.be/FngLlppw8y4?t=1109,https://www.youtube.com/watch?v=Rw15qjsXBGk,xKenzuke,https://youtu.be/FngLlppw8y4?t=3165,1.0
2019.0,summer,TCL,8,BUR,SUP,SUP,BUR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980372?gameHash=744b57ccd2eb914c,https://www.youtube.com/watch?v=8mFhU5fT_0I,https://youtu.be/8mFhU5fT_0I?t=877,https://www.youtube.com/watch?v=uH1z5DkGlLc,fabFabulous,https://youtu.be/8mFhU5fT_0I?t=2623,1.0
2019.0,summer,TCL,8,IW,DP,DP,IW,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980381?gameHash=51367fd41609df5a,https://www.youtube.com/watch?v=agvwU4xiR6g,https://youtu.be/agvwU4xiR6g?t=461,https://www.youtube.com/watch?v=s4dSTie-oag,Naru,https://youtu.be/agvwU4xiR6g?t=2092,1.0
2019.0,summer,TCL,8,FB,GS,FB,GS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980397?gameHash=ad511af41115d187,https://www.youtube.com/watch?v=zJjskui--V8,https://youtu.be/zJjskui--V8?t=621,https://www.youtube.com/watch?v=opCDh6UfUIU,Dumbledoge,https://youtu.be/zJjskui--V8?t=2166,1.0
2019.0,summer,TCL,8,RYL,BJK,RYL,BJK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980426?gameHash=4d63d57faf4fc879,https://www.youtube.com/watch?v=eKGaok6IzQE,https://youtu.be/eKGaok6IzQE?t=354,https://www.youtube.com/watch?v=wgvu96F5txk,Closer,https://youtu.be/eKGaok6IzQE?t=2180,1.0
2019.0,summer,TCL,8,SUP,GAL,GAL,SUP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980503?gameHash=a1bf4a36596dc811,https://www.youtube.com/watch?v=HzHmdEEJz-Q,https://youtu.be/HzHmdEEJz-Q?t=435,https://www.youtube.com/watch?v=hw0ESiVe9B0,Frozen,https://youtu.be/HzHmdEEJz-Q?t=2160,1.0
2019.0,summer,TCL,8,AUR,GS,GS,AUR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980518?gameHash=61db764655725a6a,https://www.youtube.com/watch?v=TexOH5wL3-o,https://youtu.be/TexOH5wL3-o?t=419,https://www.youtube.com/watch?v=nqa85kH6LPw,GBM,https://youtu.be/TexOH5wL3-o?t=3078,1.0
2019.0,summer,TCL,8,DP,FB,FB,DP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980528?gameHash=c16a3f3e5ded3f8b,https://www.youtube.com/watch?v=A1ASKowCzI0,https://youtu.be/A1ASKowCzI0?t=475,https://www.youtube.com/watch?v=IN0EYDv2AyE,Naru,https://youtu.be/A1ASKowCzI0?t=2211,1.0
2019.0,summer,TCL,8,BUR,RYL,RYL,BUR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980548?gameHash=5377c2daf9f488a7,https://www.youtube.com/watch?v=bIDdmku7yZ8,https://youtu.be/bIDdmku7yZ8?t=409,https://www.youtube.com/watch?v=MX4i6K9Sseg,Closer,https://youtu.be/bIDdmku7yZ8?t=2618,1.0
2019.0,summer,TCL,8,BJK,IW,IW,BJK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980581?gameHash=531043fcd8283335,https://www.youtube.com/watch?v=hpIeY77pHw0,https://youtu.be/hpIeY77pHw0?t=919,https://www.youtube.com/watch?v=AS6dYoksbfM,StarScreen,https://youtu.be/hpIeY77pHw0?t=3786,1.0
2019.0,summer,TCL,9,IW,BUR,BUR,IW,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980739?gameHash=d86c86e3dd30c693,https://www.youtube.com/watch?v=RrO_Egu1gBA,https://www.youtube.com/watch?v=RrO_Egu1gBA,https://www.youtube.com/watch?v=Nd_vwUYwDpc,Only35,,1.0
2019.0,summer,TCL,9,DP,BJK,BJK,DP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980745?gameHash=b95308d469efc680,https://www.youtube.com/watch?v=NrZvObLK0gI,https://youtu.be/NrZvObLK0gI?t=573,https://www.youtube.com/watch?v=uW_ifCVSfQI,HolyPhoenix,,1.0
2019.0,summer,TCL,9,FB,AUR,AUR,FB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980762?gameHash=cc8e2aeb8ae99898,https://www.youtube.com/watch?v=qmE9i1dCitg,https://youtu.be/qmE9i1dCitg?t=1048,https://www.youtube.com/watch?v=yT0izq5vkx8,Madly,,1.0
2019.0,summer,TCL,9,GAL,RYL,GAL,RYL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980764?gameHash=4e8d1844353a7080,https://www.youtube.com/watch?v=sOllfpa-VwM,https://youtu.be/sOllfpa-VwM?t=206,https://www.youtube.com/watch?v=knFza989zTA,Closer,,1.0
2019.0,summer,TCL,9,GS,SUP,SUP,GS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980782?gameHash=e1ae6cb8604d04ce,https://www.youtube.com/watch?v=zm6bsK7TC40,https://youtu.be/zm6bsK7TC40?t=408,https://www.youtube.com/watch?v=A_0RBS2sOq4,Zeitnot,,1.0
2019.0,summer,TCL,9,BUR,DP,DP,BUR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980831?gameHash=426174afbce872b7,https://www.youtube.com/watch?v=7rVzBsHNcKI,https://youtu.be/7rVzBsHNcKI?t=484,https://www.youtube.com/watch?v=KTswzCUgEvM,Japone,,1.0
2019.0,summer,TCL,9,RYL,GS,GS,RYL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980841?gameHash=a5347fef49d5facc,https://www.youtube.com/watch?v=GVAfNx9n8lw,https://youtu.be/GVAfNx9n8lw?t=634,https://www.youtube.com/watch?v=OQo-aixRh88,Closer,,1.0
2019.0,summer,TCL,9,SUP,AUR,AUR,SUP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980853?gameHash=f33f6eb0a9f1c014,https://www.youtube.com/watch?v=ruhOVJuLprI,https://youtu.be/ruhOVJuLprI?t=497,https://www.youtube.com/watch?v=XAiQM__YHQk,Stomaged,,1.0
2019.0,summer,TCL,9,BJK,FB,BJK,FB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980861?gameHash=16053217bc088230,https://www.youtube.com/watch?v=N6SzL2PUnvU,https://youtu.be/N6SzL2PUnvU?t=379,https://www.youtube.com/watch?v=0RX4fGP06Nw,koearn kid,,1.0
2019.0,summer,TCL,9,GAL,IW,GAL,IW,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980868?gameHash=295e672a7acd1d31,https://www.youtube.com/watch?v=D34W346EAxc,https://youtu.be/D34W346EAxc?t=283,https://www.youtube.com/watch?v=aoBUewCto2c,Only35,,1.0
2019.0,summer,TCL,Tiebreakers,BJK,AUR,BJK,AUR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980881?gameHash=ad29e14da0f37795,https://www.youtube.com/watch?v=Jyc7yRO604c,https://youtu.be/Jyc7yRO604c?t=927,https://www.youtube.com/watch?v=uItnZ_sjQWQ,Mayhem,,1.0
