year,season,league_name,week,team_1,team_2,Blue,Red,MH,Start,MVP,PB,set_number
2020.0,spring,PCS,5,MCX,BJD,MCX,BJD,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1320947?gameHash=9968d7239d9fcafa,https://www.youtube.com/watch?v=ZOo-t8qUXo4&t=4h05m29s,Mission,https://www.youtube.com/watch?v=ZOo-t8qUXo4&t=3h58m27s,1.0
2020.0,spring,PCS,5,NOV,RSG,NOV,RSG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1321186?gameHash=5347a1dbff118ad8,https://www.youtube.com/watch?v=BtGEwbkgM4g&t=43m05s,Shinsekai,https://www.youtube.com/watch?v=BtGEwbkgM4g&t=35m59s,1.0
2020.0,spring,PCS,5,BJD,JT,JT,BJD,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1321209?gameHash=0ff618a76adbaba8,https://www.youtube.com/watch?v=BtGEwbkgM4g&t=1h40m10s,Maoan,https://www.youtube.com/watch?v=BtGEwbkgM4g&t=1h32m41s,1.0
2020.0,spring,PCS,5,NOV,ALF,ALF,NOV,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1321221?gameHash=1dd8940a6aa0df2d,https://www.youtube.com/watch?v=BtGEwbkgM4g&t=2h47m41s,Rockky,https://www.youtube.com/watch?v=BtGEwbkgM4g&t=2h40m11s,1.0
2020.0,spring,PCS,5,ALF,HKA,HKA,ALF,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1321227?gameHash=eaac4e009ad80bd6,https://www.youtube.com/watch?v=BtGEwbkgM4g&t=3h57m16s,MnM,https://www.youtube.com/watch?v=BtGEwbkgM4g&t=3h49m16s,1.0
2020.0,spring,PCS,5,TLN,ahq,ahq,TLN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1321231?gameHash=deaada3f420f1951,https://www.youtube.com/watch?v=BtGEwbkgM4g&t=5h17m14s,Hanabi,https://www.youtube.com/watch?v=BtGEwbkgM4g&t=5h03m39s,1.0
2020.0,spring,PCS,5,JT,ALF,ALF,JT,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1321480?gameHash=cec3797d2e70d725&tab=overview,https://www.youtube.com/watch?v=5axUKWveDXs&t=29m56s,Kino,https://www.youtube.com/watch?v=5axUKWveDXs&t=21m27s,1.0
2020.0,spring,PCS,5,TLN,BJD,TLN,BJD,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1321493?gameHash=091527d4a4ecbb21&tab=overview,https://www.youtube.com/watch?v=5axUKWveDXs&t=1h33m00s,Candy,https://www.youtube.com/watch?v=5axUKWveDXs&t=1h24m37s,1.0
2020.0,spring,PCS,5,RSG,ALF,ALF,RSG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1321505?gameHash=d9249d7fe6bfd58a,https://www.youtube.com/watch?v=5axUKWveDXs&t=2h33m02s,Dennis,https://www.youtube.com/watch?v=5axUKWveDXs&t=2h26m10s,1.0
2020.0,spring,PCS,5,HKA,MCX,HKA,MCX,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1321528?gameHash=779b39e509bbbf3a,https://www.youtube.com/watch?v=5axUKWveDXs&t=3h44m59s,Bruce,https://www.youtube.com/watch?v=5axUKWveDXs&t=3h37m28s,1.0
2020.0,spring,PCS,5,ahq,HKA,HKA,ahq,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1321537?gameHash=3e7ef67d2f9aec1e,https://www.youtube.com/watch?v=5axUKWveDXs&t=4h52m53s,,https://www.youtube.com/watch?v=5axUKWveDXs&t=4h44m53s,1.0
2020.0,spring,PCS,6,LYB,ahq,LYB,ahq,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1323127?gameHash=f4473bc171c3eaf5,https://www.youtube.com/watch?v=PjrLPENQ2nQ&t=35m36s,Uniboy,https://www.youtube.com/watch?v=PjrLPENQ2nQ&t=28m04s,1.0
2020.0,spring,PCS,6,TLN,LYB,LYB,TLN,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1323147?gameHash=1f9c622eab6f66b5,https://www.youtube.com/watch?v=PjrLPENQ2nQ&t=1h38m13s,Kaiwing,https://www.youtube.com/watch?v=PjrLPENQ2nQ&t=1h30m17s,1.0
2020.0,spring,PCS,6,LYB,MCX,LYB,MCX,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1323167?gameHash=b46bd74d1ce3db80,https://www.youtube.com/watch?v=PjrLPENQ2nQ&t=2h37m24s,Mission,https://www.youtube.com/watch?v=PjrLPENQ2nQ&t=2h29m27s,1.0
2020.0,spring,PCS,6,LYB,NOV,NOV,LYB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1333151?gameHash=a7cf301ed96362a7,https://www.youtube.com/watch?v=PjrLPENQ2nQ&t=3h39m51s,Kurd,https://www.youtube.com/watch?v=PjrLPENQ2nQ&t=3h32m13s,1.0
2020.0,spring,PCS,6,RSG,LYB,LYB,RSG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1323489?gameHash=f4892db7ea84052b,https://youtu.be/xZqHwvZaT7U?t=2290,Dennis,https://youtu.be/xZqHwvZaT7U?t=1867,1.0
2020.0,spring,PCS,6,BJD,NOV,BJD,NOV,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1323510?gameHash=04fb8aab58416790,https://youtu.be/xZqHwvZaT7U?t=6164,Maoan,https://youtu.be/xZqHwvZaT7U?t=5695,1.0
2020.0,spring,PCS,6,RSG,TLN,TLN,RSG,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1323534?gameHash=4d88d612c2f7a169,https://youtu.be/xZqHwvZaT7U?t=9859,Unified,https://youtu.be/xZqHwvZaT7U?t=9454,1.0
2020.0,spring,PCS,6,ahq,ALF,ahq,ALF,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1323581?gameHash=411e596e6ddc006e,https://youtu.be/xZqHwvZaT7U?t=14379,Wako,https://youtu.be/xZqHwvZaT7U?t=13904,1.0
2020.0,spring,PCS,6,HKA,TLN,TLN,HKA,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1323610?gameHash=fdec4e1fe523f11a,https://youtu.be/xZqHwvZaT7U?t=18591,Kaiwing,https://youtu.be/xZqHwvZaT7U?t=18106,1.0
2020.0,spring,PCS,6,JT,MCX,JT,MCX,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1323633?gameHash=f522f4f7d29dac2e,https://youtu.be/xZqHwvZaT7U?t=23114,PK,https://youtu.be/xZqHwvZaT7U?t=22659,1.0
2020.0,spring,PCS,Tiebreakers,LYB,HKA,HKA,LYB,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1323799?gameHash=2f42fd919ef2101b,https://youtu.be/3qKS32ZV4sk?t=2859,JimieN,https://youtu.be/3qKS32ZV4sk?t=2119,1.0
2020.0,spring,PCS,Tiebreakers,JT,HKA,HKA,JT,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1333784?gameHash=d97d9213c7135b52,https://youtu.be/3qKS32ZV4sk?t=6531,Rest,https://youtu.be/3qKS32ZV4sk?t=6037,1.0
