year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,MVP,HL,set_number
2019.0,spring,CBLOL,6,PRG,VK,PRG,VK,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1012423?gameHash=ad8f3b50305181a9,https://youtu.be/OEhpzOOfJ9s?t=9,https://youtu.be/OEhpzOOfJ9s?t=433,https://youtu.be/OEhpzOOfJ9s?t=2284,Yang,https://www.youtube.com/watch?v=COsekKvfY_4,1.0
2019.0,spring,CBLOL,7,VK,FLA,VK,FLA,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1014703?gameHash=326d45f15e92c9c2&tab=overview,https://www.youtube.com/watch?v=GTXbJdsmyrk&t=8s,https://www.youtube.com/watch?v=GTXbJdsmyrk&t=361s,https://youtu.be/GTXbJdsmyrk?t=2506,Luci,https://www.youtube.com/watch?v=dhrLL759Htw,1.0
2019.0,spring,CBLOL,7,UP,RDP,UP,RDP,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1014722?gameHash=e4ed4c6ba58bf951,https://www.youtube.com/watch?v=xtwYXvaQuA0&t=13s,https://www.youtube.com/watch?v=xtwYXvaQuA0&t=461s,https://youtu.be/xtwYXvaQuA0?t=2411,Zuao,https://www.youtube.com/watch?v=u4wObXVcrGk,1.0
2019.0,spring,CBLOL,7,PRG,CNB,PRG,CNB,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1014740?gameHash=2ef5ca409a62caf0,https://www.youtube.com/watch?v=raSvieL_Zlc&t=8s,https://www.youtube.com/watch?v=raSvieL_Zlc&t=453s,https://youtu.be/raSvieL_Zlc?t=2141,pbO,https://www.youtube.com/watch?v=9rWZdXHzGEs,1.0
2019.0,spring,CBLOL,7,KBM,ITZ,KBM,ITZ,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1014759?gameHash=505bb329214f3f1e,https://www.youtube.com/watch?v=zPkeAk84ccQ&t=10s,https://www.youtube.com/watch?v=zPkeAk84ccQ&t=464s,https://youtu.be/zPkeAk84ccQ?t=1954,Shini,https://www.youtube.com/watch?v=4cijwSTeukI,1.0
2019.0,spring,CBLOL,7,VK,RDP,VK,RDP,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1004935?gameHash=f2ba08aa33343f36&tab=overview,https://youtu.be/1KUm1vA1QKk?t=13,https://youtu.be/1KUm1vA1QKk?t=443,https://youtu.be/1KUm1vA1QKk?t=2612,DudsTheBoy,https://www.youtube.com/watch?v=3dAJMeXiJew,1.0
2019.0,spring,CBLOL,7,UP,ITZ,UP,ITZ,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1004964?gameHash=00fea5a3581aadc7&tab=overview,https://youtu.be/bBO9lrDIIg8?t=12,https://youtu.be/bBO9lrDIIg8?t=467,https://youtu.be/bBO9lrDIIg8?t=2320,Mills,https://www.youtube.com/watch?v=QYHk17wa8vU,1.0
2019.0,spring,CBLOL,7,KBM,PRG,KBM,PRG,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1004976?gameHash=fc3c4361de891339&tab=overview,https://youtu.be/-cCSryJgW1s?t=16,https://youtu.be/-cCSryJgW1s?t=440,https://youtu.be/-cCSryJgW1s?t=3191,Zantins,https://www.youtube.com/watch?v=mUcFIBpD51A,1.0
2019.0,spring,CBLOL,7,CNB,FLA,CNB,FLA,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT02/1005007?gameHash=0d2df6606f9da911&tab=overview,https://youtu.be/GBKvvADTJkQ?t=11,https://youtu.be/GBKvvADTJkQ?t=410,https://youtu.be/GBKvvADTJkQ?t=2595,Shrimp,https://www.youtube.com/watch?v=M0HoOpy20-M,1.0
2019.0,spring,CBLOL,8,PRG,RDP,PRG,RDP,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/1033469?gameHash=7861174ac916f78f,https://www.youtube.com/watch?v=hJg7Q8zu2mM&t=47s,https://www.youtube.com/watch?v=hJg7Q8zu2mM&t=439s,https://youtu.be/hJg7Q8zu2mM?t=2421,Céos,https://www.youtube.com/watch?v=9gsEDhtlbtg,1.0
2019.0,spring,CBLOL,8,VK,UP,VK,UP,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/1033482?gameHash=ee7b88031dc5596a,https://www.youtube.com/watch?v=G-iVVI5QHNQ&t=109,https://www.youtube.com/watch?v=G-iVVI5QHNQ&t=519s,https://youtu.be/G-iVVI5QHNQ?t=2593,Yang,https://www.youtube.com/watch?v=JpzbeGV3sek,1.0
2019.0,spring,CBLOL,8,CNB,ITZ,CNB,ITZ,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/1023481?gameHash=eb56b5d5b408f839,https://www.youtube.com/watch?v=W6p5G8Woshg&t=45s,https://www.youtube.com/watch?v=W6p5G8Woshg&t=467s,https://youtu.be/W6p5G8Woshg?t=2923,Shini,https://www.youtube.com/watch?v=QYQB4yFxrPQ,1.0
2019.0,spring,CBLOL,8,FLA,KBM,FLA,KBM,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/1023512?gameHash=0a788b0c3bc53042,https://www.youtube.com/watch?v=1Wd7pmo_4DQ&t=99s,https://www.youtube.com/watch?v=1Wd7pmo_4DQ&t=521s,https://youtu.be/1Wd7pmo_4DQ?t=2662,Shrimp,https://www.youtube.com/watch?v=kA6O7QsETyE,1.0
2019.0,spring,CBLOL,8,VK,CNB,VK,CNB,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/1033840?gameHash=0ae175f9811544d0,https://www.youtube.com/watch?v=Mts4aIJd93w&t=51s,https://www.youtube.com/watch?v=Mts4aIJd93w&t=508s,https://youtu.be/Mts4aIJd93w?t=2777,Pbo,https://www.youtube.com/watch?v=AqLk9u9GnBE,1.0
2019.0,spring,CBLOL,8,FLA,PRG,FLA,PRG,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/1033852?gameHash=c0c82d5d6c018d63&tab=overview,https://www.youtube.com/watch?v=pPqDaMbDor0&t=50s,https://www.youtube.com/watch?v=pPqDaMbDor0&t=439s,https://youtu.be/pPqDaMbDor0?t=2600,Shrimp,https://www.youtube.com/watch?v=IqcpM5M06_E,1.0
