date,league_name,year,season,team_1,team_2,set_number,betting_site,saved_time,special:first_blood:home,special:first_blood:away,special:first_5kill:home,special:first_5kill:away,special:first_10kill:home,special:first_10kill:away
2020-09-10,European Masters,2020.0,summer,AGO ROGUE,Team GamerLegion,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-10,European Masters,2020.0,summer,AGO ROGUE,Team GamerLegion,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-11,European Masters,2020.0,summer,LDLC OL,S04E,1.0,betjoe,2020-09-07 23:00:00,-122,-116,-120,-120,-110,-132
2020-09-11,European Masters,2020.0,summer,LDLC OL,S04E,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-11,European Masters,2020.0,summer,LDLC OL,S04E,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-11,European Masters,2020.0,summer,Morning Stars,K1CK Neosurf,1.0,betjoe,2020-09-07 23:00:00,+100,-143,+146,-217,+165,-250
2020-09-11,European Masters,2020.0,summer,Morning Stars,K1CK Neosurf,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-11,European Masters,2020.0,summer,Morning Stars,K1CK Neosurf,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-11,European Masters,2020.0,summer,LDLC OL,Morning Stars,1.0,betjoe,2020-09-07 23:00:00,-189,+129,-217,+146,-250,+165
2020-09-11,European Masters,2020.0,summer,LDLC OL,Morning Stars,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-11,European Masters,2020.0,summer,LDLC OL,Morning Stars,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-11,European Masters,2020.0,summer,K1CK Neosurf,S04E,1.0,betjoe,2020-09-07 23:00:00,+100,-143,-120,-120,+100,-143
2020-09-11,European Masters,2020.0,summer,K1CK Neosurf,S04E,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-11,European Masters,2020.0,summer,K1CK Neosurf,S04E,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-11,European Masters,2020.0,summer,S04E,Morning Stars,1.0,betjoe,2020-09-07 23:00:00,-159,+109,-250,+165,-294,+189
2020-09-11,European Masters,2020.0,summer,S04E,Morning Stars,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-11,European Masters,2020.0,summer,S04E,Morning Stars,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-11,European Masters,2020.0,summer,K1CK Neosurf,LDLC OL,1.0,betjoe,2020-09-07 23:00:00,+100,-143,-120,-120,-110,-132
2020-09-11,European Masters,2020.0,summer,K1CK Neosurf,LDLC OL,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-11,European Masters,2020.0,summer,K1CK Neosurf,LDLC OL,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,WLGaming,Misfits Premier,1.0,betjoe,2020-09-07 23:00:00,+135,-200,+210,-333,+250,-417
2020-09-12,European Masters,2020.0,summer,WLGaming,Misfits Premier,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,WLGaming,Misfits Premier,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Pompa,Giants Gaming,1.0,betjoe,2020-09-07 23:00:00,+100,-143,+165,-250,+189,-294
2020-09-12,European Masters,2020.0,summer,Pompa,Giants Gaming,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Pompa,Giants Gaming,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Giants Gaming,1.0,betjoe,2020-09-07 23:00:00,-159,+109,-143,+100,-159,+109
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Giants Gaming,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Giants Gaming,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Pompa,WLGaming,1.0,betjoe,2020-09-07 23:00:00,-143,+100,-120,-120,-120,-120
2020-09-12,European Masters,2020.0,summer,Pompa,WLGaming,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Pompa,WLGaming,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Pompa,1.0,betjoe,2020-09-07 23:00:00,-159,+109,-294,+189,-370,+228
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Pompa,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Pompa,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Giants Gaming,WLGaming,1.0,betjoe,2020-09-07 23:00:00,-172,+120,-278,+181,-333,+210
2020-09-12,European Masters,2020.0,summer,Giants Gaming,WLGaming,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Giants Gaming,WLGaming,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,GamersOrigin,Fnatic Rising,1.0,betjoe,2020-09-07 23:00:00,-120,-120,-120,-120,-120,-120
2020-09-13,European Masters,2020.0,summer,GamersOrigin,Fnatic Rising,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,GamersOrigin,Fnatic Rising,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,mousesports,Intrepid Fox,1.0,betjoe,2020-09-07 23:00:00,-189,+129,-385,+235,-500,+286
2020-09-13,European Masters,2020.0,summer,mousesports,Intrepid Fox,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,mousesports,Intrepid Fox,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,mousesports,GamersOrigin,1.0,betjoe,2020-09-07 23:00:00,-135,-106,-132,-110,-143,+100
2020-09-13,European Masters,2020.0,summer,mousesports,GamersOrigin,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,mousesports,GamersOrigin,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,Fnatic Rising,1.0,betjoe,2020-09-07 23:00:00,+129,-189,+210,-333,+250,-417
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,Fnatic Rising,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,Fnatic Rising,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,GamersOrigin,1.0,betjoe,2020-09-07 23:00:00,+120,-175,+210,-333,+250,-417
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,GamersOrigin,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,GamersOrigin,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,Fnatic Rising,mousesports,1.0,betjoe,2020-09-07 23:00:00,-120,-120,+100,-143,+109,-159
2020-09-13,European Masters,2020.0,summer,Fnatic Rising,mousesports,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,Fnatic Rising,mousesports,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-08,LFL,2020.0,summer,GameWard,Team MCES,1.0,betjoe,2020-09-07 23:00:00,-130,-110,-196,+133,-222,+150
2020-09-08,LFL,2020.0,summer,GameWard,Team MCES,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-08,LFL,2020.0,summer,GameWard,Team MCES,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-08,LFL,2020.0,summer,Vitality Bee,IziDream,1.0,betjoe,2020-09-07 23:00:00,-133,-109,-135,-106,-147,+102
2020-09-08,LFL,2020.0,summer,Vitality Bee,IziDream,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-08,LFL,2020.0,summer,Vitality Bee,IziDream,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-08,LFL,2020.0,summer,Solary,GamersOrigin,1.0,betjoe,2020-09-07 23:00:00,-106,-135,+133,-196,+150,-222
2020-09-08,LFL,2020.0,summer,Solary,GamersOrigin,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-08,LFL,2020.0,summer,Solary,GamersOrigin,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-08,LFL,2020.0,summer,Misfits Premier,LDLC OL,1.0,betjoe,2020-09-07 23:00:00,-125,-114,-120,-120,-120,-120
2020-09-08,LFL,2020.0,summer,Misfits Premier,LDLC OL,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-08,LFL,2020.0,summer,Misfits Premier,LDLC OL,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-09,LFL,2020.0,summer,Team MCES,GamersOrigin,1.0,betjoe,2020-09-07 23:00:00,+114,-167,+212,-333,+251,-417
2020-09-09,LFL,2020.0,summer,Team MCES,GamersOrigin,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-09,LFL,2020.0,summer,Team MCES,GamersOrigin,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-09,LFL,2020.0,summer,GameWard,LDLC OL,1.0,betjoe,2020-09-07 23:00:00,-104,-139,+101,-145,+110,-159
2020-09-09,LFL,2020.0,summer,GameWard,LDLC OL,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-09,LFL,2020.0,summer,GameWard,LDLC OL,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-09,LFL,2020.0,summer,Vitality Bee,Misfits Premier,1.0,betjoe,2020-09-07 23:00:00,-120,-120,+100,-145,+110,-159
2020-09-09,LFL,2020.0,summer,Vitality Bee,Misfits Premier,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-09,LFL,2020.0,summer,Vitality Bee,Misfits Premier,3.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-09,LFL,2020.0,summer,Solary,IziDream,1.0,betjoe,2020-09-07 23:00:00,-119,-122,-120,-120,-120,-120
2020-09-09,LFL,2020.0,summer,Solary,IziDream,2.0,betjoe,2020-09-07 23:00:00,,,,,,
2020-09-09,LFL,2020.0,summer,Solary,IziDream,3.0,betjoe,2020-09-07 23:00:00,,,,,,
