date,league_name,year,season,team_1,team_2,set_number,betting_site,saved_time,special:set_win:home,special:set_win:away,special:first_blood:home,special:first_blood:away,special:first_5kill:home,special:first_5kill:away,special:first_10kill:home,special:first_10kill:away,over_under:total_kill:21.5:over,over_under:total_kill:21.5:under,over_under:total_kill:22.5:over,over_under:total_kill:22.5:under,over_under:total_kill:23.5:over,over_under:total_kill:23.5:under,over_under:total_kill:24.5:over,over_under:total_kill:24.5:under,over_under:total_kill:25.5:over,over_under:total_kill:25.5:under,over_under:total_kill:26.5:over,over_under:total_kill:26.5:under,over_under:total_kill:27.5:over,over_under:total_kill:27.5:under,over_under:game_time:33:over,over_under:game_time:33:under,handicap:total_kill_handicap:-7.5:home,handicap:total_kill_handicap:+7.5:away,handicap:total_kill_handicap:-6.5:home,handicap:total_kill_handicap:+6.5:away,handicap:total_kill_handicap:-5.5:home,handicap:total_kill_handicap:+5.5:away,handicap:total_kill_handicap:-4.5:home,handicap:total_kill_handicap:+4.5:away,handicap:total_kill_handicap:-3.5:home,handicap:total_kill_handicap:+3.5:away,handicap:total_kill_handicap:-2.5:home,handicap:total_kill_handicap:+2.5:away,handicap:total_kill_handicap:-1.5:home,handicap:total_kill_handicap:+1.5:away,special:first_tower:home,special:first_tower:away,special:first_dragon:home,special:first_dragon:away,over_under:total_dragon:4.5:over,over_under:total_dragon:4.5:under,special:first_baron:home,special:first_baron:away,over_under:total_baron:1.5:over,over_under:total_baron:1.5:under,special:first_rift:home,special:first_rift:away,special:first_inhib:home,special:first_inhib:away,over_under:total_kill:20.5:over,over_under:total_kill:20.5:under
2020-09-11,European Masters,2020.0,summer,K1CK Neosurf,S04E,2.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11,European Masters,2020.0,summer,K1CK Neosurf,S04E,3.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11,European Masters,2020.0,summer,S04E,Morning Stars,1.0,betjoe,2020-09-07 11:00:00,,,-159,+109,-250,+165,-294,+189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11,European Masters,2020.0,summer,S04E,Morning Stars,2.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11,European Masters,2020.0,summer,S04E,Morning Stars,3.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11,European Masters,2020.0,summer,K1CK Neosurf,LDLC OL,1.0,betjoe,2020-09-07 11:00:00,,,+100,-143,-120,-120,-110,-132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11,European Masters,2020.0,summer,K1CK Neosurf,LDLC OL,2.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11,European Masters,2020.0,summer,K1CK Neosurf,LDLC OL,3.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,WLGaming,Misfits Premier,1.0,betjoe,2020-09-07 11:00:00,,,+135,-200,+210,-333,+250,-417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,WLGaming,Misfits Premier,2.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,WLGaming,Misfits Premier,3.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,Pompa,Giants Gaming,1.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,Pompa,Giants Gaming,2.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,Pompa,Giants Gaming,3.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Giants Gaming,1.0,betjoe,2020-09-07 11:00:00,,,-159,+109,-143,+100,-159,+109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Giants Gaming,2.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Giants Gaming,3.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,Pompa,WLGaming,1.0,betjoe,2020-09-07 11:00:00,,,-143,+100,-120,-120,-120,-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,Pompa,WLGaming,2.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,Pompa,WLGaming,3.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Pompa,1.0,betjoe,2020-09-07 11:00:00,,,-159,+109,-294,+189,-370,+228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Pompa,2.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Pompa,3.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
