date,league_name,year,season,team_1,team_2,set_number,betting_site,saved_time,special:first_blood:home,special:first_blood:away,special:first_5kill:home,special:first_5kill:away,special:first_10kill:home,special:first_10kill:away,over_under:total_kill:23.5:over,over_under:total_kill:23.5:under,over_under:total_kill:24.5:over,over_under:total_kill:24.5:under,over_under:total_kill:25.5:over,over_under:total_kill:25.5:under,over_under:game_time:33:over,over_under:game_time:33:under,handicap:total_kill_handicap:-12.5:home,handicap:total_kill_handicap:+12.5:away,handicap:total_kill_handicap:-11.5:home,handicap:total_kill_handicap:+11.5:away,handicap:total_kill_handicap:-10.5:home,handicap:total_kill_handicap:+10.5:away,handicap:total_kill_handicap:-9.5:home,handicap:total_kill_handicap:+9.5:away,handicap:total_kill_handicap:-8.5:home,handicap:total_kill_handicap:+8.5:away,special:first_tower:home,special:first_tower:away,special:first_dragon:home,special:first_dragon:away,special:first_baron:home,special:first_baron:away,over_under:total_baron:1.5:over,over_under:total_baron:1.5:under,special:first_rift:home,special:first_rift:away,special:first_inhib:home,special:first_inhib:away,over_under:game_time:32:over,over_under:game_time:32:under,handicap:total_kill_handicap:-7.5:home,handicap:total_kill_handicap:+7.5:away,handicap:total_kill_handicap:-6.5:home,handicap:total_kill_handicap:+6.5:away,handicap:total_kill_handicap:-5.5:home,handicap:total_kill_handicap:+5.5:away,over_under:total_kill:26.5:over,over_under:total_kill:26.5:under,over_under:total_kill:27.5:over,over_under:total_kill:27.5:under,handicap:total_kill_handicap:-4.5:home,handicap:total_kill_handicap:+4.5:away,handicap:total_kill_handicap:-3.5:home,handicap:total_kill_handicap:+3.5:away,handicap:total_kill_handicap:-2.5:home,handicap:total_kill_handicap:+2.5:away,handicap:total_kill_handicap:-1.5:home,handicap:total_kill_handicap:+1.5:away,handicap:total_kill_handicap:-0.5:home,handicap:total_kill_handicap:+0.5:away,over_under:total_kill:28.5:over,over_under:total_kill:28.5:under,over_under:total_kill:22.5:over,over_under:total_kill:22.5:under
2020-10-10,World Championship 2020,2020.0,summer,TSM,GenG,1.0,betjoe,2020-10-04 23:00:00,+109,-152,+153,-213,+173,-244,,,,,,,,,,,,,,,,,,,+136,-196,+118,-167,+146,-213,,,-105,-132,+219,-333,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,World Championship 2020,2020.0,summer,TSM,GenG,2.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,World Championship 2020,2020.0,summer,TSM,GenG,3.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,World Championship 2020,2020.0,summer,Fnatic,LGD,1.0,betjoe,2020-10-04 23:00:00,-116,-116,-125,-109,-133,-102,,,,,,,,,,,,,,,,,,,-139,-101,-127,-111,-127,-111,,,-128,-108,-152,+110,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,World Championship 2020,2020.0,summer,Fnatic,LGD,2.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,World Championship 2020,2020.0,summer,Fnatic,LGD,3.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,World Championship 2020,2020.0,summer,LGD,TSM,1.0,betjoe,2020-10-04 23:00:00,-116,-116,-116,-116,-116,-116,,,,,,,,,,,,,,,,,,,-139,-101,-127,-111,-127,-111,,,-139,+100,-152,+110,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,World Championship 2020,2020.0,summer,LGD,TSM,2.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,World Championship 2020,2020.0,summer,LGD,TSM,3.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,World Championship 2020,2020.0,summer,Fnatic,GenG,1.0,betjoe,2020-10-04 23:00:00,+100,-135,+102,-139,+111,-152,,,,,,,,,,,,,,,,,,,+111,-159,+111,-161,+109,-154,,,+125,-175,+137,-192,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,World Championship 2020,2020.0,summer,Fnatic,GenG,2.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,World Championship 2020,2020.0,summer,Fnatic,GenG,3.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,FlyQuest,DragonX,1.0,betjoe,2020-10-04 23:00:00,+109,-143,+190,-270,+221,-323,,,,,,,,,,,,,,,,,,,+150,-217,+122,-167,+173,-256,,,+106,-147,+272,-435,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,FlyQuest,DragonX,2.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,FlyQuest,DragonX,3.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,Unicorns Of Love,TES,1.0,betjoe,2020-10-04 23:00:00,+127,-172,+272,-417,+326,-526,,,,,,,,,,,,,,,,,,,+196,-294,+173,-256,+294,-500,,,-118,-118,+498,-1000,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,Unicorns Of Love,TES,2.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,Unicorns Of Love,TES,3.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,Unicorns Of Love,DragonX,1.0,betjoe,2020-10-04 23:00:00,+111,-149,+177,-250,+199,-286,,,,,,,,,,,,,,,,,,,+160,-233,+136,-196,+173,-256,,,+134,-189,+272,-435,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,Unicorns Of Love,DragonX,2.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,Unicorns Of Love,DragonX,3.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,FlyQuest,TES,1.0,betjoe,2020-10-04 23:00:00,+127,-172,+313,-500,+403,-714,,,,,,,,,,,,,,,,,,,+196,-294,+159,-233,+294,-500,,,+184,-270,+498,-1000,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,FlyQuest,TES,2.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,FlyQuest,TES,3.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,Unicorns Of Love,FlyQuest,1.0,betjoe,2020-10-04 23:00:00,-116,-116,-116,-116,-116,-116,,,,,,,,,,,,,,,,,,,-119,-119,-119,-119,-119,-119,,,-118,-118,-110,-125,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,Unicorns Of Love,FlyQuest,2.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,Unicorns Of Love,FlyQuest,3.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,DragonX,TES,1.0,betjoe,2020-10-04 23:00:00,+101,-137,+145,-200,+159,-222,,,,,,,,,,,,,,,,,,,+129,-175,+111,-154,+136,-196,,,-105,-132,+198,-294,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,DragonX,TES,2.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,DragonX,TES,3.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
