date,league_name,year,match_type,team_1,team_2,win_odds_home,win_odds_away
12 Mar 2019,LPL,2019.0,Spring Season,Team WE,Bilibili Gaming,3.58,1.27
11 Mar 2019,LPL,2019.0,Spring Season,EDward Gaming,Oh My God,1.21,4.12
11 Mar 2019,LPL,2019.0,Spring Season,JD Gaming,Vici Gaming,1.17,4.66
10 Mar 2019,LPL,2019.0,Spring Season,Royal Never Give Up,LNG Esports,1.12,5.81
10 Mar 2019,LPL,2019.0,Spring Season,Invictus Gaming,Team WE,1.09,6.59
10 Mar 2019,LPL,2019.0,Spring Season,Top Esports,FunPlus Phoenix,1.88,1.84
09 Mar 2019,LPL,2019.0,Spring Season,Bilibili Gaming,Suning,1.79,1.97
09 Mar 2019,LPL,2019.0,Spring Season,Rogue Warriors,Victory Five,2.41,1.54
09 Mar 2019,LPL,2019.0,Spring Season,JD Gaming,Dominus Esports,1.66,2.17
08 Mar 2019,LPL,2019.0,Spring Season,EDward Gaming,LGD Gaming,1.14,5.45
08 Mar 2019,LPL,2019.0,Spring Season,Top Esports,Vici Gaming,1.09,6.64
06 Mar 2019,LPL,2019.0,Spring Season,Invictus Gaming,Victory Five,1.07,7.63
06 Mar 2019,LPL,2019.0,Spring Season,Royal Never Give Up,FunPlus Phoenix,1.89,1.86
05 Mar 2019,LPL,2019.0,Spring Season,LGD Gaming,Suning,3.77,1.25
05 Mar 2019,LPL,2019.0,Spring Season,Oh My God,Dominus Esports,3.05,1.35
04 Mar 2019,LPL,2019.0,Spring Season,Team WE,LNG Esports,1.57,2.32
04 Mar 2019,LPL,2019.0,Spring Season,Vici Gaming,Bilibili Gaming,3.61,1.27
03 Mar 2019,LPL,2019.0,Spring Season,Invictus Gaming,FunPlus Phoenix,1.39,2.87
03 Mar 2019,LPL,2019.0,Spring Season,Suning,Oh My God,1.27,3.60
03 Mar 2019,LPL,2019.0,Spring Season,Royal Never Give Up,Victory Five,1.12,5.68
02 Mar 2019,LPL,2019.0,Spring Season,EDward Gaming,JD Gaming,1.55,2.37
02 Mar 2019,LPL,2019.0,Spring Season,Rogue Warriors,Bilibili Gaming,3.17,1.33
02 Mar 2019,LPL,2019.0,Spring Season,LGD Gaming,Vici Gaming,1.69,2.11
01 Mar 2019,LPL,2019.0,Spring Season,LNG Esports,Top Esports,5.04,1.15
01 Mar 2019,LPL,2019.0,Spring Season,Royal Never Give Up,Team WE,1.18,4.53
27 Feb 2019,LPL,2019.0,Spring Season,Rogue Warriors,LNG Esports,1.83,1.91
27 Feb 2019,LPL,2019.0,Spring Season,JD Gaming,Victory Five,1.36,3.06
26 Feb 2019,LPL,2019.0,Spring Season,FunPlus Phoenix,Oh My God,1.11,6.28
26 Feb 2019,LPL,2019.0,Spring Season,Top Esports,Dominus Esports,1.13,5.69
25 Feb 2019,LPL,2019.0,Spring Season,Invictus Gaming,Suning,1.22,4.04
25 Feb 2019,LPL,2019.0,Spring Season,LGD Gaming,Team WE,2.03,1.74
24 Feb 2019,LPL,2019.0,Spring Season,Rogue Warriors,EDward Gaming,3.97,1.25
24 Feb 2019,LPL,2019.0,Spring Season,Bilibili Gaming,Dominus Esports,1.54,2.39
24 Feb 2019,LPL,2019.0,Spring Season,JD Gaming,Oh My God,1.20,4.26
23 Feb 2019,LPL,2019.0,Spring Season,Royal Never Give Up,Top Esports,1.74,2.03
23 Feb 2019,LPL,2019.0,Spring Season,LGD Gaming,Victory Five,1.55,2.36
23 Feb 2019,LPL,2019.0,Spring Season,LNG Esports,Vici Gaming,1.67,2.12
22 Feb 2019,LPL,2019.0,Spring Season,Suning,EDward Gaming,1.65,2.17
22 Feb 2019,LPL,2019.0,Spring Season,Invictus Gaming,Dominus Esports,1.10,6.40
20 Feb 2019,LPL,2019.0,Spring Season,Team WE,Oh My God,1.63,2.20
20 Feb 2019,LPL,2019.0,Spring Season,Vici Gaming,Victory Five,2.09,1.70
19 Feb 2019,LPL,2019.0,Spring Season,Rogue Warriors,Suning,5.85,1.12
19 Feb 2019,LPL,2019.0,Spring Season,FunPlus Phoenix,LGD Gaming,1.23,3.98
18 Feb 2019,LPL,2019.0,Spring Season,Top Esports,JD Gaming,1.49,2.52
18 Feb 2019,LPL,2019.0,Spring Season,LNG Esports,Bilibili Gaming,2.54,1.48
17 Feb 2019,LPL,2019.0,Spring Season,Royal Never Give Up,EDward Gaming,1.45,2.63
17 Feb 2019,LPL,2019.0,Spring Season,Team WE,FunPlus Phoenix,3.90,1.24
16 Feb 2019,LPL,2019.0,Spring Season,Invictus Gaming,LGD Gaming,1.04,9.46
16 Feb 2019,LPL,2019.0,Spring Season,Bilibili Gaming,JD Gaming,2.45,1.52
15 Feb 2019,LPL,2019.0,Spring Season,Dominus Esports,Rogue Warriors,1.76,2.01
15 Feb 2019,LPL,2019.0,Spring Season,Vici Gaming,Royal Never Give Up,4.67,1.17
30 Jan 2019,LPL,2019.0,Spring Season,Suning,FunPlus Phoenix,1.57,2.33
30 Jan 2019,LPL,2019.0,Spring Season,Invictus Gaming,LNG Esports,1.06,8.10
29 Jan 2019,LPL,2019.0,Spring Season,Team WE,EDward Gaming,5.56,1.14
29 Jan 2019,LPL,2019.0,Spring Season,LGD Gaming,Top Esports,4.96,1.16
28 Jan 2019,LPL,2019.0,Spring Season,Oh My God,Victory Five,1.66,2.15
28 Jan 2019,LPL,2019.0,Spring Season,Dominus Esports,Vici Gaming,1.55,2.38
27 Jan 2019,LPL,2019.0,Spring Season,Invictus Gaming,JD Gaming,1.09,6.63
27 Jan 2019,LPL,2019.0,Spring Season,Suning,LNG Esports,1.24,3.87
26 Jan 2019,LPL,2019.0,Spring Season,Top Esports,Oh My God,1.24,3.92
26 Jan 2019,LPL,2019.0,Spring Season,Rogue Warriors,LGD Gaming,2.08,1.70
25 Jan 2019,LPL,2019.0,Spring Season,EDward Gaming,Vici Gaming,1.23,4.00
25 Jan 2019,LPL,2019.0,Spring Season,Victory Five,Bilibili Gaming,2.46,1.51
23 Jan 2019,LPL,2019.0,Spring Season,FunPlus Phoenix,JD Gaming,1.51,2.45
23 Jan 2019,LPL,2019.0,Spring Season,Team WE,Suning,4.13,1.21
22 Jan 2019,LPL,2019.0,Spring Season,LGD Gaming,Royal Never Give Up,2.74,1.44
22 Jan 2019,LPL,2019.0,Spring Season,LNG Esports,Dominus Esports,1.41,2.79
21 Jan 2019,LPL,2019.0,Spring Season,Invictus Gaming,Rogue Warriors,1.04,9.90
21 Jan 2019,LPL,2019.0,Spring Season,Oh My God,Bilibili Gaming,3.97,1.23
20 Jan 2019,LPL,2019.0,Spring Season,Suning,Royal Never Give Up,1.80,1.96
20 Jan 2019,LPL,2019.0,Spring Season,FunPlus Phoenix,LNG Esports,1.38,2.96
19 Jan 2019,LPL,2019.0,Spring Season,JD Gaming,Rogue Warriors,1.36,3.04
19 Jan 2019,LPL,2019.0,Spring Season,Team WE,Dominus Esports,1.67,2.16
18 Jan 2019,LPL,2019.0,Spring Season,EDward Gaming,LNG Esports,1.21,4.17
18 Jan 2019,LPL,2019.0,Spring Season,Victory Five,Top Esports,5.57,1.13
16 Jan 2019,LPL,2019.0,Spring Season,Invictus Gaming,Oh My God,1.04,8.86
16 Jan 2019,LPL,2019.0,Spring Season,Suning,Vici Gaming,1.09,6.53
15 Jan 2019,LPL,2019.0,Spring Season,LGD Gaming,Bilibili Gaming,1.65,2.13
15 Jan 2019,LPL,2019.0,Spring Season,EDward Gaming,Dominus Esports,1.21,4.16
14 Jan 2019,LPL,2019.0,Spring Season,Rogue Warriors,FunPlus Phoenix,3.13,1.34
14 Jan 2019,LPL,2019.0,Spring Season,Top Esports,Invictus Gaming,2.76,1.41
