match_id,set_number,set_match_id,league_id,year,season,date,home_team_id,away_team_id,tiebreaker,match_round,team_1,team_2,league_name,ckpm,game_length
6370,1,10935,16,2018,summer,2018-08-04,184,156,0,8,PENTAGRAM,Crest Gaming Act,LJL,0.6152,2048.0
6370,2,10936,16,2018,summer,2018-08-04,184,156,0,8,PENTAGRAM,Crest Gaming Act,LJL,0.3098,2518.0
6370,3,10937,16,2018,summer,2018-08-04,184,156,0,8,PENTAGRAM,Crest Gaming Act,LJL,0.3723,2901.0
6371,1,10938,16,2018,summer,2018-08-04,141,369,0,8,V3 Esports,Unsold Stuff Gaming,LJL,0.5346,2469.0
6371,2,10939,16,2018,summer,2018-08-04,141,369,0,8,V3 Esports,Unsold Stuff Gaming,LJL,0.731,2134.0
6371,3,10940,16,2018,summer,2018-08-04,141,369,0,8,V3 Esports,Unsold Stuff Gaming,LJL,0.6853,1576.0
6372,1,10941,16,2018,summer,2018-08-10,141,300,0,9,V3 Esports,Detonation FocusMe,LJL,0.8237,1894.0
6372,2,10942,16,2018,summer,2018-08-10,141,300,0,9,V3 Esports,Detonation FocusMe,LJL,1.0005,1859.0
6373,1,10943,16,2018,summer,2018-08-10,369,184,0,9,Unsold Stuff Gaming,PENTAGRAM,LJL,0.4014,1943.0
6373,2,10944,16,2018,summer,2018-08-10,369,184,0,9,Unsold Stuff Gaming,PENTAGRAM,LJL,0.4041,2227.0
6373,3,10945,16,2018,summer,2018-08-10,369,184,0,9,Unsold Stuff Gaming,PENTAGRAM,LJL,0.3956,2427.0
6374,1,10946,16,2018,summer,2018-08-10,220,156,0,9,Burning Core,Crest Gaming Act,LJL,0.6112,2454.0
6374,2,10947,16,2018,summer,2018-08-10,220,156,0,9,Burning Core,Crest Gaming Act,LJL,0.5765,2498.0
6374,3,10948,16,2018,summer,2018-08-10,220,156,0,9,Burning Core,Crest Gaming Act,LJL,0.4863,2344.0
6375,1,10949,16,2018,summer,2018-08-11,300,369,0,10,Detonation FocusMe,Unsold Stuff Gaming,LJL,0.7591,1897.0
6375,2,10950,16,2018,summer,2018-08-11,300,369,0,10,Detonation FocusMe,Unsold Stuff Gaming,LJL,0.3769,2229.0
6376,1,10951,16,2018,summer,2018-08-11,184,220,0,10,PENTAGRAM,Burning Core,LJL,0.7962,2110.0
6376,2,10952,16,2018,summer,2018-08-11,184,220,0,10,PENTAGRAM,Burning Core,LJL,0.7357,1631.0
6377,1,10953,16,2018,summer,2018-08-11,156,141,0,10,Crest Gaming Act,V3 Esports,LJL,0.4485,1739.0
6377,2,10954,16,2018,summer,2018-08-11,156,141,0,10,Crest Gaming Act,V3 Esports,LJL,0.7581,2216.0
6378,1,10955,16,2019,spring,2019-01-19,403,228,0,1,Sengoku Gaming,AXIZ,LJL,0.683,2372.0
6379,1,10956,16,2019,spring,2019-01-19,120,228,0,1,Rascal Jester,AXIZ,LJL,0.7562,1825.0
6380,1,10957,16,2019,spring,2019-01-19,120,369,0,1,Rascal Jester,Unsold Stuff Gaming,LJL,0.774,2248.0
6381,1,10958,16,2019,spring,2019-01-19,403,369,0,1,Sengoku Gaming,Unsold Stuff Gaming,LJL,1.0671,2249.0
6382,1,10959,16,2019,spring,2019-01-19,141,220,0,1,V3 Esports,Burning Core,LJL,0.7441,1532.0
6383,1,10960,16,2019,spring,2019-01-19,141,156,0,1,V3 Esports,Crest Gaming Act,LJL,0.5226,2411.0
6384,1,10961,16,2019,spring,2019-01-19,300,156,0,1,Detonation FocusMe,Crest Gaming Act,LJL,0.7674,1642.0
6385,1,10962,16,2019,spring,2019-01-19,300,220,0,1,Detonation FocusMe,Burning Core,LJL,0.4753,2777.0
6386,1,10963,16,2019,spring,2019-01-25,403,141,0,2,Sengoku Gaming,V3 Esports,LJL,0.453,2119.0
6387,1,10964,16,2019,spring,2019-01-25,228,141,0,2,AXIZ,V3 Esports,LJL,0.7099,1775.0
6388,1,10965,16,2019,spring,2019-01-25,120,403,0,2,Rascal Jester,Sengoku Gaming,LJL,0.6914,1562.0
6389,1,10966,16,2019,spring,2019-01-25,369,220,0,2,Unsold Stuff Gaming,Burning Core,LJL,0.3919,1837.0
6390,1,10967,16,2019,spring,2019-01-25,369,300,0,2,Unsold Stuff Gaming,Detonation FocusMe,LJL,0.5577,2044.0
6391,1,10968,16,2019,spring,2019-01-26,403,156,0,2,Sengoku Gaming,Crest Gaming Act,LJL,0.4819,1992.0
6392,1,10969,16,2019,spring,2019-01-26,120,156,0,2,Rascal Jester,Crest Gaming Act,LJL,0.828,2029.0
6393,1,10970,16,2019,spring,2019-01-26,120,300,0,2,Rascal Jester,Detonation FocusMe,LJL,1.0539,1651.0
6394,1,10971,16,2019,spring,2019-02-01,228,156,0,3,AXIZ,Crest Gaming Act,LJL,0.6102,1770.0
6395,1,10972,16,2019,spring,2019-02-01,369,156,0,3,Unsold Stuff Gaming,Crest Gaming Act,LJL,0.8464,1914.0
6396,1,10973,16,2019,spring,2019-02-01,369,141,0,3,Unsold Stuff Gaming,V3 Esports,LJL,0.6016,2194.0
6397,1,10974,16,2019,spring,2019-02-01,120,141,0,3,Rascal Jester,V3 Esports,LJL,0.8129,1919.0
6398,1,10975,16,2019,spring,2019-02-01,220,120,0,3,Burning Core,Rascal Jester,LJL,0.5759,2292.0
6399,1,10976,16,2019,spring,2019-02-02,220,403,0,3,Burning Core,Sengoku Gaming,LJL,0.7073,2460.0
6400,1,10977,16,2019,spring,2019-02-02,369,228,0,3,Unsold Stuff Gaming,AXIZ,LJL,0.3877,2786.0
6401,1,10978,16,2019,spring,2019-02-02,228,300,0,3,AXIZ,Detonation FocusMe,LJL,0.7139,1681.0
6402,1,10979,16,2019,spring,2019-02-09,156,220,0,4,Crest Gaming Act,Burning Core,LJL,0.7869,1525.0
6403,1,10980,16,2019,spring,2019-02-09,300,141,0,4,Detonation FocusMe,V3 Esports,LJL,1.2152,1580.0
6404,1,10981,16,2019,spring,2019-02-09,300,403,0,4,Detonation FocusMe,Sengoku Gaming,LJL,1.0265,1695.0
6405,1,10982,16,2019,spring,2019-02-09,228,220,0,4,AXIZ,Burning Core,LJL,0.7111,2447.0
6406,1,10983,16,2019,spring,2019-02-09,156,120,0,4,Crest Gaming Act,Rascal Jester,LJL,0.6656,2524.0
6407,1,10984,16,2019,spring,2019-02-09,228,369,0,4,AXIZ,Unsold Stuff Gaming,LJL,0.6324,1613.0
6408,1,10985,16,2019,spring,2019-02-09,369,120,0,4,Unsold Stuff Gaming,Rascal Jester,LJL,0.532,2707.0
6409,1,10986,16,2019,spring,2019-02-15,141,403,0,5,V3 Esports,Sengoku Gaming,LJL,0.6806,1675.0
6410,1,10987,16,2019,spring,2019-02-15,156,403,0,5,Crest Gaming Act,Sengoku Gaming,LJL,0.69,1913.0
6411,1,10988,16,2019,spring,2019-02-15,220,369,0,5,Burning Core,Unsold Stuff Gaming,LJL,0.3947,2432.0
6412,1,10989,16,2019,spring,2019-02-16,300,120,0,5,Detonation FocusMe,Rascal Jester,LJL,0.8049,1640.0
