league_id,year,season,date,home_team_id,away_team_id,tiebreaker,match_round,match_id
11,2017,summer,2017-06-20,170,8,0,3,1387
11,2017,summer,2017-06-21,295,329,0,3,1388
11,2017,summer,2017-06-21,103,250,0,3,1389
11,2017,summer,2017-06-22,8,301,0,3,1390
11,2017,summer,2017-06-22,363,170,0,3,1391
11,2017,summer,2017-06-27,250,295,0,4,1392
11,2017,summer,2017-06-27,329,103,0,4,1393
11,2017,summer,2017-06-28,103,363,0,4,1394
11,2017,summer,2017-06-28,295,8,0,4,1395
11,2017,summer,2017-06-29,170,329,0,4,1396
11,2017,summer,2017-06-29,301,250,0,4,1397
11,2017,summer,2017-07-03,8,103,0,5,1398
11,2017,summer,2017-07-03,363,295,0,5,1399
11,2017,summer,2017-07-04,250,170,0,5,1400
11,2017,summer,2017-07-04,329,301,0,5,1401
11,2017,summer,2017-07-05,329,250,0,5,1402
11,2017,summer,2017-07-05,363,8,0,5,1403
11,2017,summer,2017-07-11,295,103,0,6,1404
11,2017,summer,2017-07-11,301,170,0,6,1405
11,2017,summer,2017-07-12,8,250,0,6,1406
11,2017,summer,2017-07-12,329,363,0,6,1407
11,2017,summer,2017-07-13,170,103,0,6,1408
11,2017,summer,2017-07-13,295,301,0,6,1409
11,2017,summer,2017-07-17,250,363,0,7,1410
11,2017,summer,2017-07-17,329,8,0,7,1411
11,2017,summer,2017-07-18,103,301,0,7,1412
11,2017,summer,2017-07-18,295,170,0,7,1413
11,2017,summer,2017-07-19,8,170,0,7,1414
11,2017,summer,2017-07-19,363,301,0,7,1415
11,2017,summer,2017-07-25,250,103,0,8,1416
11,2017,summer,2017-07-25,329,295,0,8,1417
11,2017,summer,2017-07-26,170,363,0,8,1418
11,2017,summer,2017-07-26,301,8,0,8,1419
11,2017,summer,2017-07-27,103,329,0,8,1420
11,2017,summer,2017-07-27,295,250,0,8,1421
11,2017,summer,2017-07-31,8,295,0,9,1422
11,2017,summer,2017-07-31,363,103,0,9,1423
11,2017,summer,2017-08-01,250,301,0,9,1424
11,2017,summer,2017-08-01,329,170,0,9,1425
11,2017,summer,2017-08-02,103,8,0,9,1426
11,2017,summer,2017-08-02,295,363,0,9,1427
11,2017,summer,2017-08-03,301,329,0,9,1428
11,2017,summer,2017-08-03,170,250,0,9,1429
11,2018,spring,2018-01-16,127,301,0,1,1430
11,2018,spring,2018-01-16,6,103,0,1,1431
11,2018,spring,2018-01-17,103,301,0,1,1432
11,2018,spring,2018-01-17,170,30,0,1,1433
11,2018,spring,2018-01-18,250,318,0,1,1434
11,2018,spring,2018-01-18,6,127,0,1,1435
11,2018,spring,2018-01-23,30,318,0,2,1436
11,2018,spring,2018-01-23,170,250,0,2,1437
11,2018,spring,2018-01-24,127,103,0,2,1438
11,2018,spring,2018-01-24,301,6,0,2,1439
11,2018,spring,2018-01-25,250,30,0,2,1440
11,2018,spring,2018-01-25,318,170,0,2,1441
11,2018,spring,2018-01-30,318,301,0,3,1442
11,2018,spring,2018-01-30,250,127,0,3,1443
11,2018,spring,2018-01-31,30,103,0,3,1444
11,2018,spring,2018-01-31,170,6,0,3,1445
11,2018,spring,2018-02-01,127,318,0,3,1446
11,2018,spring,2018-02-01,301,250,0,3,1447
11,2018,spring,2018-02-06,6,30,0,4,1448
11,2018,spring,2018-02-06,103,170,0,4,1449
11,2018,spring,2018-02-07,170,301,0,4,1450
11,2018,spring,2018-02-07,30,127,0,4,1451
11,2018,spring,2018-02-08,250,103,0,4,1452
11,2018,spring,2018-02-08,318,6,0,4,1453
11,2018,spring,2018-02-21,127,170,0,5,1454
11,2018,spring,2018-02-21,301,30,0,5,1455
11,2018,spring,2018-02-22,6,250,0,5,1456
11,2018,spring,2018-02-22,103,318,0,5,1457
11,2018,spring,2018-02-27,103,6,0,6,1458
11,2018,spring,2018-02-27,301,127,0,6,1459
11,2018,spring,2018-03-01,30,170,0,6,1460
11,2018,spring,2018-03-01,318,250,0,6,1461
11,2018,spring,2018-03-06,127,6,0,7,1462
11,2018,spring,2018-03-06,301,103,0,7,1463
11,2018,spring,2018-03-07,250,170,0,7,1464
11,2018,spring,2018-03-07,318,30,0,7,1465
11,2018,spring,2018-03-08,6,301,0,7,1466
11,2018,spring,2018-03-08,103,127,0,7,1467
11,2018,spring,2018-03-13,170,318,0,8,1468
11,2018,spring,2018-03-13,30,250,0,8,1469
11,2018,spring,2018-03-14,127,250,0,8,1470
11,2018,spring,2018-03-14,301,318,0,8,1471
11,2018,spring,2018-03-15,6,170,0,8,1472
11,2018,spring,2018-03-15,103,30,0,8,1473
11,2018,spring,2018-03-20,250,301,0,9,1474
11,2018,spring,2018-03-20,318,127,0,9,1475
11,2018,spring,2018-03-21,170,103,0,9,1476
11,2018,spring,2018-03-21,30,6,0,9,1477
11,2018,spring,2018-03-22,127,30,0,9,1478
11,2018,spring,2018-03-22,301,170,0,9,1479
11,2018,spring,2018-03-27,6,318,0,10,1480
11,2018,spring,2018-03-27,103,250,0,10,1481
11,2018,spring,2018-03-28,30,301,0,10,1482
11,2018,spring,2018-03-28,170,127,0,10,1483
11,2018,spring,2018-03-29,318,103,0,10,1484
11,2018,spring,2018-03-29,250,6,0,10,1485
11,2018,spring,2018-03-30,318,250,1,Tiebreakers,1486
11,2018,summer,2018-07-03,301,350,0,1,1487
11,2018,summer,2018-07-03,263,177,0,1,1488
11,2018,summer,2018-07-04,103,76,0,1,1489
11,2018,summer,2018-07-04,250,227,0,1,1490
11,2018,summer,2018-07-06,301,263,0,1,1491
11,2018,summer,2018-07-06,250,103,0,1,1492
11,2018,summer,2018-07-06,177,350,0,1,1493
11,2018,summer,2018-07-13,103,301,0,2,1494
11,2018,summer,2018-07-13,250,177,0,2,1495
11,2018,summer,2018-07-13,350,76,0,2,1496
11,2018,summer,2018-07-15,263,250,0,2,1497
11,2018,summer,2018-07-15,76,227,0,2,1498
11,2018,summer,2018-07-17,301,250,0,3,1499
11,2018,summer,2018-07-17,263,103,0,3,1500
11,2018,summer,2018-07-18,350,227,0,3,1501
11,2018,summer,2018-07-18,177,76,0,3,1502
11,2018,summer,2018-07-20,227,301,0,3,1503
11,2018,summer,2018-07-20,103,177,0,3,1504
11,2018,summer,2018-07-20,76,250,0,3,1505
11,2018,summer,2018-07-22,227,177,0,3,1506
11,2018,summer,2018-07-22,76,263,0,3,1507
11,2018,summer,2018-07-24,263,227,0,4,1508
11,2018,summer,2018-07-24,350,103,0,4,1509
11,2018,summer,2018-07-25,301,177,0,4,1510
11,2018,summer,2018-07-25,250,350,0,4,1511
11,2018,summer,2018-07-27,76,301,0,4,1512
11,2018,summer,2018-07-27,350,263,0,4,1513
11,2018,summer,2018-07-27,103,227,0,4,1514
11,2018,summer,2018-07-31,350,301,0,5,1515
11,2018,summer,2018-07-31,177,263,0,5,1516
11,2018,summer,2018-08-01,76,103,0,5,1517
11,2018,summer,2018-08-01,227,250,0,5,1518
11,2018,summer,2018-08-03,263,301,0,5,1519
11,2018,summer,2018-08-03,103,250,0,5,1520
11,2018,summer,2018-08-03,350,177,0,5,1521
11,2018,summer,2018-08-07,250,263,0,6,1522
11,2018,summer,2018-08-07,76,227,0,6,1523
11,2018,summer,2018-08-08,177,227,0,6,1524
11,2018,summer,2018-08-08,263,76,0,6,1525
11,2018,summer,2018-08-10,301,103,0,6,1526
11,2018,summer,2018-08-10,177,250,0,6,1527
11,2018,summer,2018-08-10,76,350,0,6,1528
11,2018,summer,2018-08-14,250,301,0,7,1529
11,2018,summer,2018-08-14,103,263,0,7,1530
11,2018,summer,2018-08-15,350,227,0,7,1531
11,2018,summer,2018-08-15,76,177,0,7,1532
11,2018,summer,2018-08-17,301,227,0,7,1533
11,2018,summer,2018-08-17,177,103,0,7,1534
11,2018,summer,2018-08-17,250,76,0,7,1535
11,2018,summer,2018-08-20,263,227,0,8,1536
11,2018,summer,2018-08-20,103,350,0,8,1537
11,2018,summer,2018-08-21,177,301,0,8,1538
11,2018,summer,2018-08-21,350,250,0,8,1539
11,2018,summer,2018-08-22,301,76,0,8,1540
11,2018,summer,2018-08-22,263,350,0,8,1541
11,2018,summer,2018-08-22,227,103,0,8,1542
11,2019,spring,2019-01-15,432,250,0,1,1543
11,2019,spring,2019-01-15,301,375,0,1,1544
11,2019,spring,2019-01-16,76,139,0,1,1545
11,2019,spring,2019-01-16,170,357,0,1,1546
11,2019,spring,2019-01-22,357,375,0,2,1547
11,2019,spring,2019-01-22,170,76,0,2,1548
11,2019,spring,2019-01-23,432,301,0,2,1549
11,2019,spring,2019-01-23,139,250,0,2,1550
11,2019,spring,2019-01-29,301,250,0,3,1551
11,2019,spring,2019-01-29,432,139,0,3,1552
11,2019,spring,2019-01-30,375,170,0,3,1553
11,2019,spring,2019-01-30,76,357,0,3,1554
11,2019,spring,2019-02-12,170,432,0,4,1555
11,2019,spring,2019-02-12,139,375,0,4,1556
11,2019,spring,2019-02-13,357,250,0,4,1557
11,2019,spring,2019-02-13,76,301,0,4,1558
11,2019,spring,2019-02-19,375,76,0,5,1559
11,2019,spring,2019-02-19,250,170,0,5,1560
11,2019,spring,2019-02-20,432,357,0,5,1561
11,2019,spring,2019-02-20,301,139,0,5,1562
11,2019,spring,2019-02-26,357,139,0,6,1563
11,2019,spring,2019-02-26,76,432,0,6,1564
11,2019,spring,2019-02-27,170,301,0,6,1565
11,2019,spring,2019-02-27,250,375,0,6,1566
11,2019,spring,2019-03-05,139,170,0,7,1567
11,2019,spring,2019-03-05,301,357,0,7,1568
11,2019,spring,2019-03-06,250,76,0,7,1569
11,2019,spring,2019-03-06,375,432,0,7,1570
11,2019,spring,2019-03-06,301,357,1,Tiebreakers,1571
11,2019,summer,2019-06-03,432,250,0,1,1572
11,2019,summer,2019-06-03,301,243,0,1,1573
11,2019,summer,2019-06-04,242,139,0,1,1574
11,2019,summer,2019-06-04,170,357,0,1,1575
11,2019,summer,2019-06-10,357,243,0,2,1576
11,2019,summer,2019-06-10,170,242,0,2,1577
11,2019,summer,2019-06-11,432,301,0,2,1578
11,2019,summer,2019-06-11,139,250,0,2,1579
11,2019,summer,2019-06-17,301,250,0,3,1580
11,2019,summer,2019-06-17,432,139,0,3,1581
11,2019,summer,2019-06-18,243,170,0,3,1582
11,2019,summer,2019-06-18,242,357,0,3,1583
11,2019,summer,2019-06-24,170,432,0,4,1584
11,2019,summer,2019-06-24,139,243,0,4,1585
11,2019,summer,2019-06-25,357,250,0,4,1586
11,2019,summer,2019-06-25,242,301,0,4,1587
11,2019,summer,2019-07-01,243,242,0,5,1588
11,2019,summer,2019-07-01,250,170,0,5,1589
11,2019,summer,2019-07-02,432,357,0,5,1590
11,2019,summer,2019-07-02,301,139,0,5,1591
11,2019,summer,2019-07-08,242,432,0,6,1592
11,2019,summer,2019-07-09,170,301,0,6,1593
11,2019,summer,2019-07-09,250,243,0,6,1594
11,2019,summer,2019-07-16,357,139,0,6,1595
11,2019,summer,2019-07-15,139,170,0,7,1596
11,2019,summer,2019-07-15,243,432,0,7,1597
11,2019,summer,2019-07-16,250,242,0,7,1598
11,2019,summer,2019-07-16,301,357,0,7,1599
12,2018,spring,2018-04-11,229,343,0,2,1639
12,2020,summer,2020-08-19,344,419,0,2,1795
12,2020,summer,2020-08-19,379,265,0,2,1799
12,2020,summer,2020-08-19,39,157,0,2,1801
12,2020,summer,2020-08-19,265,419,0,2,1807
